lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ms_originations,states_with_originations,priority_match
549300DM6DAOPSF8HL78,,,,unmatched,236,145,79,MS:79;IN:17;TX:6;TN:6;OK:5;FL:4;KY:4;LA:4;OH:3;IL:2,low
5493006P5IHSK77SZ855,,,,unmatched,2615,1740,77,TX:668;TN:193;AL:175;OK:126;LA:125;MS:77;MI:51;WA:46;NM:44;IN:41,high
549300DG3IV05V4C4E03,,,,unmatched,4161,3145,73,LA:1292;TX:730;AR:516;TN:265;IN:131;GA:86;MS:73;FL:13;OH:6;AL:6,high
254900B631B05UVLUA59,,,,unmatched,180,131,65,LA:66;MS:65,low
5493006OZEG7DK77IP05,,,,unmatched,190,117,64,MS:64;AL:53,low
2549005WP4EISHQKDS45,,,,unmatched,92,66,62,MS:62;AL:4,low
2549007JQKHU8KQ0FC19,,,,unmatched,3867,3257,61,AR:2197;TN:311;IL:243;OK:217;KY:97;MS:61;LA:33;TX:30;OH:25;AL:20,medium
549300K2JM6ID3V5LO24,,,,unmatched,713,376,60,TN:305;MS:60;AR:7;LA:2;AL:1;FL:1,medium
549300167EZ5P8B06R34,,,,unmatched,80,59,59,MS:59,low
5493001Q0ZTLEV17B098,,,,unmatched,58,58,58,MS:58,low
254900R21YNPTNWW1L44,,,,unmatched,103,55,55,MS:55,low
549300CDOC4F7XSRG390,,,,unmatched,8293,5548,51,TN:2808;NC:1222;SC:417;VA:248;AL:224;GA:200;FL:107;MD:82;KY:51;MS:51,high
549300VVH8HHFMWL8536,,,,unmatched,2187,1457,51,TX:529;CA:513;LA:62;CO:52;MS:51;AL:25;FL:25;UT:24;AZ:17;OR:13,high
2549009A2MMICIE00762,,,,unmatched,99,51,51,MS:51,low
549300XBK37R056FL102,,,,unmatched,51,49,48,MS:48;LA:1,low
5493008RSN6F31BTGT93,,,,unmatched,2298,1587,40,LA:1409;TX:53;FL:48;MS:40;AL:11;GA:3;NC:3;SC:3;OR:2;MO:2,medium
54930027H7CJF9GCDZ36,,,,unmatched,431,306,39,IN:248;MS:39;NC:9;OH:5;TN:2;FL:1;MI:1;KY:1,low
549300GY4NTTEM7WWB64,,,,unmatched,816,529,38,AR:175;FL:79;GA:41;MS:38;NC:35;TX:28;PA:21;TN:20;VA:20;AL:14,medium
254900ZX1UPIG2E7TH11,,,,unmatched,4134,3064,37,LA:1298;AL:793;SC:288;GA:193;TX:186;FL:93;OK:42;PA:38;MS:37;MA:26,high
549300TGWKRP2P13MO72,,,,unmatched,196,169,37,TN:91;MS:37;NC:19;AL:7;GA:6;FL:4;OK:2;MA:1;MO:1;AR:1,medium
549300ZPJVCRRFETOG85,,,,unmatched,1414,751,36,TX:525;NM:156;MS:36;FL:12;AL:12;MI:4;LA:4;CO:1;GA:1,high
549300KM0M1BH7LBWW77,,,,unmatched,587,468,34,TN:421;MS:34;UT:3;GA:2;VA:2;AR:2;TX:1;IL:1;MD:1;MO:1,medium
549300OJTK0IPSNDA832,,,,unmatched,312,192,34,LA:97;MS:34;IL:19;GA:7;TX:6;MI:6;AL:4;TN:3;CA:3;NC:2,low
549300OGIGNKGO2DX942,,,,unmatched,420,277,32,TN:89;MS:32;CA:17;GA:14;AR:13;PA:13;NC:11;NJ:9;FL:9;TX:9,medium
254900FJRICL380R4T46,,,,unmatched,2355,1565,30,TN:1505;MS:30;AR:9;KY:7;AL:3;FL:3;TX:2;MO:1;GA:1;OH:1,high
549300IRXW9RSZM2B951,,,,unmatched,667,477,27,TN:173;AR:141;MA:29;MS:27;NY:22;MO:13;OK:11;TX:10;DE:9;CT:8,medium
5493001EXVWX6Q13MY44,,,,unmatched,604,275,26,TN:242;MS:26;AR:3;NC:1;FL:1;AL:1;TX:1,medium
549300CRSE0TY73U6X46,,,,unmatched,313,245,24,TN:211;MS:24;AR:5;TX:2;MO:2;PA:1,medium
5493004VB8XJ1L0EOO76,,,,unmatched,283,235,22,TN:203;MS:22;FL:4;SC:2;AL:1;NV:1;DC:1;GA:1,medium
254900CNZPI5WN45KW48,,,,unmatched,566,437,22,AR:387;MS:22;OK:15;TX:4;AL:2;LA:2;FL:1;MO:1;TN:1;IN:1,low
549300J4330IBZ0BBI43,,,,unmatched,2417,1169,21,AL:855;FL:206;GA:32;MS:21;SC:9;CA:8;OH:6;TN:6;NJ:4;IL:4,medium
549300WC15MLNUIZYR16,,,,unmatched,800,572,21,AL:469;GA:80;MS:21;FL:2,medium
549300DU662K57XBSH20,,,,unmatched,186,118,19,TN:95;MS:19;AR:4,medium
549300ZGTXNHL5BKQZ27,,,,unmatched,2561,1842,18,TX:1708;NM:37;TN:32;MS:18;AL:10;CA:8;FL:6;GA:4;NC:4;AR:4,high
549300DPRWSBUY619V27,,,,unmatched,4871,3125,18,AR:986;TN:773;TX:559;MO:461;OK:237;KS:56;MS:18;KY:7;IL:4;GA:4,high
254900U2ZPLWQTSD3158,,,,unmatched,451,339,18,TN:285;MS:18;AR:7;FL:6;MI:3;NC:3;GA:3;CO:2;AL:2;MO:2,medium
254900XPILOY1LB5CK32,,,,unmatched,506,406,18,AL:313;TX:64;MS:18;AR:8;TN:2;MO:1,medium
549300W76QLF060CER73,,,,unmatched,136,109,18,AL:79;MS:18;LA:11;TN:1,low
5493009F6BJDCZMZ7Y26,,,,unmatched,2920,2083,17,TX:1746;AR:218;LA:48;TN:45;MS:17;SC:4;AL:2;OK:2;FL:1,high
5493002F9OWLKRICTY67,,,,unmatched,776,492,15,LA:367;TX:79;MS:15;NC:5;FL:5;AR:5;GA:3;AL:3;TN:3;SC:3,medium
