lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,il_originations,states_with_originations,priority_match,illinois_originations
549300CP7747DCRW6U68,,,,unmatched,1655,1334,616,MO:673;IL:616;FL:12;CO:3;TN:3;AZ:2;OH:2;OK:2;IN:2;MI:2,medium,616
5493004WMLN60ZJ2ON46,,,,unmatched,27380,18825,615,FL:4200;TX:3108;NC:1555;SC:1148;AZ:1133;OH:1064;CA:943;GA:803;NV:748;IL:615,high,615
549300E3X7YDJIUENL65,,,,unmatched,1003,605,568,IL:568;IN:12;FL:7;MO:3;WI:3;SC:2;TX:2;NC:1;AZ:1;KY:1,medium,568
549300PXL1KA5TOL2O82,,,,unmatched,8501,7003,566,TX:2129;FL:1223;OH:1088;NC:723;MN:571;IL:566;IN:437;MI:185;TN:74;SC:7,high,566
254900O2K17TNH5CL873,,,,unmatched,8594,6766,565,TX:900;OH:776;NJ:692;FL:624;PA:592;IL:565;MA:433;MD:311;NC:248;MI:202,high,565
549300T9P3WXNMXX0I34,,,,unmatched,11998,8425,563,WI:1245;PA:1110;OH:1044;NC:765;FL:693;IL:563;IN:394;TN:333;VA:290;TX:224,high,563
549300WUGYTMN4HIT493,,,,unmatched,994,558,558,IL:558,medium,558
2549005SIVTHG14U2905,,,,unmatched,24436,14692,550,FL:5245;CA:1446;TX:1050;NY:948;IL:550;GA:471;AZ:471;NJ:453;PA:339;SC:296,high,550
5493008CPTDVOS570626,,,,unmatched,39368,21298,535,OH:7970;FL:3765;CA:2301;GA:772;NJ:746;NC:672;IL:535;VA:526;WA:395;PA:392,high,535
549300QX0QWWJKEY4R28,,,,unmatched,688,548,514,IL:514;IN:17;FL:5;AZ:4;WI:3;SC:2;MI:1;TN:1;CO:1,medium,514
2549007JZSAICH4GZJ60,,,,unmatched,2386,1856,505,FL:711;IL:505;CA:358;IN:126;WI:111;MI:10;AZ:9;TX:4;VA:4;WA:4,high,505
X05BVSK68TQ7YTOSNR22,,,,unmatched,68974,9711,493,CA:813;FL:771;TX:649;IL:493;NY:467;GA:466;NJ:451;OH:397;PA:392;VA:317,high,493
549300XY701IELCE5Q08,,,,unmatched,45682,14567,476,CA:1786;TX:1143;FL:1004;GA:685;NC:664;NJ:658;CO:512;OK:493;WA:480;IL:476,high,476
549300UKYJZO6CZXIX60,,,,unmatched,729,576,476,IL:476;TN:22;IN:16;FL:13;MI:11;MN:8;WI:5;OH:5;GA:5;SC:3,medium,476
549300JYXTZDSPJEPI44,,,,unmatched,23886,14594,475,TX:1897;FL:1239;NY:1222;CA:1056;PA:866;MN:713;MI:555;NC:515;IN:489;IL:475,high,475
549300PL8ER6H23P0Z91,,,,unmatched,6554,4443,470,WA:476;IL:470;CA:426;MD:368;TX:302;CO:257;VA:190;FL:180;OR:180;KY:166,high,470
5493005PD34O8ZT7QT17,,,,unmatched,10284,7256,469,OH:1513;PA:757;IL:469;MI:431;MO:365;NJ:321;TX:319;AL:292;GA:244;NY:241,high,469
549300AR4BCLQFU47165,,,,unmatched,1322,784,469,IL:469;IA:308;TX:1;MO:1;FL:1;MN:1;MT:1;WI:1;NC:1,medium,469
549300CUUEEQ66ZVK149,,,,unmatched,3061,1993,464,MO:667;IL:464;KS:153;OH:119;IN:111;WI:90;KY:70;TN:61;GA:56;IA:54,medium,464
549300J7I82PNDVU8H22,,,,unmatched,29739,16337,454,CA:7327;FL:1580;TX:1270;MD:564;IL:454;AZ:439;GA:412;NV:368;MA:335;VA:312,high,454
254900HA4DQWAE0W3342,,,,unmatched,15379,9160,452,TX:1692;GA:705;FL:619;CA:540;PA:524;IL:452;IN:431;OH:396;AL:335;TN:311,high,452
5493003X0GM1DHJIWC22,,,,unmatched,984,772,414,IL:414;IA:318;WI:27;FL:3;MO:2;MI:2;TN:1;SC:1;AR:1;NV:1,medium,414
549300OARXTADS0L8L11,,,,unmatched,702,455,402,IL:402;MO:49;FL:2;KS:2,low,402
549300POCKENHFN8BN88,,,,unmatched,480,439,400,IL:400;IN:35;FL:2;MO:1;TN:1,low,400
549300YPQDQJM78AYS70,,,,unmatched,493,395,387,IL:387;MO:4;IN:1;TX:1;FL:1;AZ:1,low,387
549300LI5KT42YX5L588,,,,unmatched,516,395,383,IL:383;WI:7;AZ:1;VA:1;AR:1;FL:1;MO:1,low,383
549300CQG2T7TCGY8Q67,,,,unmatched,463,393,382,IL:382;WI:4;MO:3;TN:1;NC:1;KY:1;FL:1,low,382
549300GS0W0TEUQS8571,,,,unmatched,14182,10740,381,CA:1957;FL:990;NY:947;TX:573;NJ:548;MA:449;CO:427;IL:381;WA:350;GA:322,high,381
549300032FNX4IOT2T93,,,,unmatched,538,375,366,IL:366;AZ:2;MO:2;IA:2;TN:1;LA:1;KY:1,low,366
5493005T71YXBHEO2093,,,,unmatched,1483,567,356,IL:356;GA:63;MN:41;NV:35;IN:29;FL:12;WI:10;MI:7;TN:5;CA:4,medium,356
549300DE8TS4EYTPX729,,,,unmatched,5588,4153,355,NJ:1545;PA:992;FL:445;IL:355;TX:171;MA:141;ME:133;LA:87;MD:64;VA:39,high,355
2549004FXPNKCLIN8250,,,,unmatched,11752,8115,348,OH:1310;TX:1261;CA:797;LA:765;CO:652;WA:606;ID:550;OR:532;IL:348;MT:180,high,348
5493000BIR9N6Y5KFV24,,,,unmatched,542,381,342,IL:342;MO:34;VA:1;KY:1;FL:1;NV:1;WI:1,low,342
549300U8L31JJT1ZDP60,,,,unmatched,520,378,320,IL:320;MO:53;KY:2;KS:1;AZ:1;TX:1,low,320
549300ZM3TKJVUYB3676,,,,unmatched,390,340,318,IL:318;IA:11;WI:4;FL:2;NM:1;TN:1;AR:1;GA:1;IN:1,low,318
2549001E11O22GGBEL86,,,,unmatched,357,318,314,IL:314;IN:2;MO:1;TX:1,low,314
254900378RFGMBEKAF12,,,,unmatched,3556,2166,309,IA:720;IL:309;ME:257;WI:132;NC:109;MO:52;KS:50;ND:41;GA:38;TX:37,medium,309
549300O4KTZGM04CCZ47,,,,unmatched,644,423,308,IL:308;WI:72;OH:14;CA:7;FL:5;MN:4;MA:2;IN:2;AZ:2;TX:1,low,308
549300RD5IG88VPO6P22,,,,unmatched,4492,2872,307,TX:379;IL:307;NY:250;CA:187;MN:183;NJ:151;MI:136;OH:121;WA:119;VA:111,high,307
549300PJ2WT35S77Q208,,,,unmatched,2564,1526,307,IL:307;WI:186;OH:145;FL:106;PA:65;MI:64;TX:62;MO:56;IN:51;KY:45,medium,307
549300SK2GVCQXPD4S58,,,,unmatched,16278,8918,304,CA:1697;TX:1058;FL:658;AZ:538;GA:358;IL:304;PR:289;OH:247;NC:246;VA:245,high,304
549300GTVXJ2PGXNLM73,,,,unmatched,12024,9307,302,TX:1195;FL:869;NC:762;OH:610;SC:592;KY:592;CT:447;VA:334;IL:302;AR:278,high,302
2549008LUH7QKMXQ8N53,,,,unmatched,1648,1140,297,IL:297;MO:278;IA:176;PA:97;IN:76;CO:43;MT:31;TX:25;MN:21;AR:17,medium,297
549300FX3J95NB1UTP88,,,,unmatched,346,295,295,IL:295,low,295
5493004LTLRA7Y5L3696,,,,unmatched,347,312,294,IL:294;IN:11;FL:2;NC:1;AL:1;OK:1;TX:1;AZ:1,low,294
549300J6N77Q8OHYNF23,,,,unmatched,7828,5501,291,TX:419;CA:416;WA:388;NC:341;IL:291;MD:267;MO:214;NH:193;GA:188;MA:176,high,291
254900UR7PKXXBLHG019,,,,unmatched,300,300,287,IL:287;TX:8;FL:5,low,287
549300ZZME37MXI1EF14,,,,unmatched,9985,7562,283,MO:3201;OH:849;TX:571;MD:440;MI:357;IL:283;AR:269;WA:192;KY:166;ME:116,high,283
9845001DAE89414CBB55,,,,unmatched,8677,2547,282,IN:514;MI:449;WI:337;KS:335;IL:282;TX:174;FL:129;MO:63;OH:56;AZ:32,medium,282
549300E0S1LZYZ9QNX81,,,,unmatched,2648,1646,279,IN:987;IL:279;TN:218;KY:130;GA:19;FL:3;AL:3;NJ:1;AZ:1;CO:1,medium,279
549300N2GMOJ61XHEL06,,,,unmatched,1351,900,279,IL:279;CO:141;MD:122;FL:99;VA:98;OR:61;TX:54;NC:15;WA:11;DC:6,medium,279
549300TA4MQM8WN2XG31,,,,unmatched,9454,5106,278,FL:504;PA:494;NJ:395;CA:388;TX:381;NY:356;IL:278;OH:277;MI:227;GA:185,high,278
549300X6ESK4SUBRYL85,,,,unmatched,481,357,278,IL:278;FL:19;TX:12;MI:9;WI:5;GA:4;CO:4;CA:3;MN:3;AZ:3,low,278
549300MD1OK70DH5EZ47,,,,unmatched,396,285,273,IL:273;WI:3;TN:2;PA:2;NC:1;IN:1;MO:1;OH:1;SC:1,low,273
549300RIPPSJXAQKZ383,,,,unmatched,764,557,272,IL:272;WI:202;IN:27;NJ:14;MA:7;FL:6;AZ:5;RI:3;TN:3;CT:3,medium,272
549300W09D8JV1ANXX59,,,,unmatched,519,390,271,IL:271;MI:56;IN:28;AZ:11;TN:6;FL:5;WI:4;NC:3;CO:2;GA:1,low,271
5493008VVXQIDO1EZ460,,,,unmatched,8405,5759,264,CA:951;OR:805;TX:471;TN:425;GA:378;ID:300;WA:299;MO:295;IL:264;NV:241,high,264
549300LTSES0DE01Z405,,,,unmatched,393,284,264,IL:264;MO:12;TX:2;AR:1;KY:1;FL:1;IN:1;SC:1;TN:1,low,264
254900V9IPN94068J011,,,,unmatched,444,266,264,IL:264;WI:2,low,264
549300WS8BW0I0BDA390,,,,unmatched,1528,1205,263,IN:557;IL:263;WI:151;GA:98;MI:45;OH:36;CO:23;FL:15;NV:4;TN:2,medium,263
549300DNRGCN05KNA737,,,,unmatched,308,267,259,IL:259;IN:6;TN:1;KS:1,low,259
549300RAQJBTN6Z28096,,,,unmatched,348,288,257,IL:257;WI:5;CO:5;CA:3;FL:3;MI:3;UT:2;GA:1;NY:1;AZ:1,low,257
2549002W5VVAQ5IH5726,,,,unmatched,267,265,257,IL:257;FL:2;IN:2;MO:2;TX:1;WI:1,low,257
549300F08RTZA4O1LF12,,,,unmatched,284,263,254,IL:254;TX:3;WI:2;MI:2;MO:1;IN:1,low,254
549300RUKY2I2HQ2AI44,,,,unmatched,1006,570,252,IL:252;NJ:146;NY:86;PA:37;CT:25;FL:22;IN:2,medium,252
549300EMGY2NJUW3A749,,,,unmatched,335,300,247,IL:247;TX:24;IN:14;WI:9;FL:3;MI:2;TN:1,low,247
549300WIE2SKOKI8PF63,,,,unmatched,506,294,246,IL:246;WI:21;FL:6;IN:3;SC:3;TN:2;MI:2;KY:1;IA:1;TX:1,low,246
5493003617RJR4JUYT66,,,,unmatched,318,254,246,IL:246;WI:2;FL:2;TN:1;MI:1;ID:1;AZ:1,low,246
2549007JQKHU8KQ0FC19,,,,unmatched,3867,3257,243,AR:2197;TN:311;IL:243;OK:217;KY:97;MS:61;LA:33;TX:30;OH:25;AL:20,medium,243
FDXQ75GPEQKRPWABYN63,,,,unmatched,750,541,243,IL:243;FL:49;WI:41;CA:36;MO:24;MI:18;TX:15;GA:11;AZ:10;MA:10,medium,243
5493000KJ6VEEFTSNI20,,,,unmatched,339,293,240,IL:240;IN:51;AZ:1;MI:1,low,240
549300NN5CG5Q640OV05,,,,unmatched,306,238,233,IL:233;TN:2;IN:2;FL:1,low,233
54930084WKZ9NTQ0QS94,,,,unmatched,338,272,232,IL:232;MO:22;IN:13;FL:2;AL:1;KY:1;TN:1,low,232
549300B8C23BCNGJ4960,,,,unmatched,506,317,231,IL:231;MO:59;NE:19;IN:3;KY:2;AL:1;IA:1;FL:1,low,231
549300NWBS6MQJX15N44,,,,unmatched,7805,5717,229,CA:1262;TX:1171;GA:488;AZ:284;FL:275;WA:270;IL:229;PA:169;CO:168;MN:127,high,229
549300O6Z0I6KYMESL47,,,,unmatched,19692,12091,224,CA:4633;FL:1634;TX:1476;GA:546;UT:295;NJ:281;AZ:251;VA:241;PA:236;IL:224,high,224
5493003X9FWFI47DPO39,,,,unmatched,268,253,221,IL:221;CA:6;AZ:3;TX:3;ID:2;NY:2;TN:1;FL:1;VA:1;MA:1,low,221
549300AUFLERO59VGC71,,,,unmatched,635,556,219,WI:314;IL:219;FL:7;TN:4;SC:3;NC:2;MN:1;IN:1;IA:1;OR:1,medium,219
549300W6J23SLH6AR815,,,,unmatched,656,248,219,IL:219;CA:12;IN:9;WI:6;AZ:2,low,219
5493001XKL0FTNOJ0866,,,,unmatched,8198,5554,215,AZ:794;MO:589;FL:414;TX:386;IN:359;OH:291;GA:260;IL:215;LA:188;NM:163,high,215
549300GWJ5O0AQLJKV83,,,,unmatched,236,211,211,IL:211,low,211
254900WEP08K7U7S3A80,,,,unmatched,8177,6568,210,WI:943;TX:709;OH:658;AZ:564;MO:385;OR:304;IN:252;NV:222;IL:210;MS:209,high,210
2549006L3U88MNTL7K26,,,,unmatched,295,223,208,IL:208;WI:10;TN:2;GA:1;PA:1;MI:1,low,208
549300UG7QXKM7KGV847,,,,unmatched,8724,4960,207,TX:943;IN:417;NY:318;OH:273;GA:245;PA:211;IL:207;MI:199;FL:183;MO:182,high,207
213800XR2TCBQJSF1X93,,,,unmatched,11823,6849,206,MO:523;TX:518;KS:430;FL:383;NC:354;WA:335;CA:313;GA:257;VA:252;IL:206,high,206
549300Y5Y88FQLI7VE83,,,,unmatched,14122,8066,205,FL:1549;CA:1010;TX:738;NC:355;GA:352;NJ:274;OH:265;PA:231;VA:205;IL:205,high,205
549300TOZIPCBM0DLH67,,,,unmatched,238,221,205,IL:205;WI:4;KY:3;WA:2;MI:2;FL:2;SC:1;IN:1;GA:1,low,205
549300B6UWNP01JH6452,,,,unmatched,281,227,205,IL:205;WI:16;IA:4;MN:1;OH:1,low,205
549300INFJ8TYNZ1G568,,,,unmatched,6522,6065,200,CA:1748;FL:485;TX:359;CO:314;WA:265;AZ:233;IL:200;NY:192;NJ:178;NC:172,high,200
549300V3UW6HP83URS67,,,,unmatched,3710,2045,200,MI:1408;WI:433;IL:200;FL:4,medium,200
5493009B17HXCVXTD608,,,,unmatched,8061,5353,199,CA:1541;FL:1292;TX:353;AZ:252;NJ:208;IL:199;UT:153;GA:129;WA:129;CO:111,high,199
549300EWFHPBZH38K695,,,,unmatched,1985,1390,199,WI:653;MN:485;IL:199;TX:23;IA:6;MI:5;ND:3;AL:2;MO:2;KY:2,medium,199
254900YK0G0T2WULHK84,,,,unmatched,240,221,196,IL:196;IA:17;MO:2;WA:1;KY:1;CO:1;OH:1;FL:1;WI:1,low,196
549300NB3SBC1KHAWB92,,,,unmatched,5621,4133,195,MO:1690;NE:537;FL:434;IA:427;KY:328;AR:243;IL:195;TN:186;CO:24;KS:17,high,195
7DMUJTL9FFTVIAG9H788,,,,unmatched,7326,3789,194,MO:2488;KS:751;IL:194;CO:161;OK:45;TX:23;FL:22;AZ:13;AR:13;CA:12,medium,194
549300NSOTTGIGCIV712,,,,unmatched,883,623,194,IA:429;IL:194,medium,194
549300YAYQAARPBTRA72,,,,unmatched,447,232,194,IL:194;IN:14;MI:7;WI:5;CA:4;CO:2;AZ:1;GA:1;KS:1;TX:1,low,194
2138009TTY1M4OJRXV14,,,,unmatched,340,287,192,IL:192;IA:82;FL:5;AZ:3;WI:2;SC:2;MO:1,low,192
549300QKL5FUBZ8LSF50,,,,unmatched,8223,5926,190,OR:1427;CA:840;PA:570;WA:435;MA:314;FL:268;NJ:191;IL:190;TX:184;OH:183,high,190
549300LROQOOQU77WS20,,,,unmatched,12661,5807,189,CA:537;TX:435;NC:318;WA:301;GA:291;FL:263;NJ:234;VA:233;CO:195;IL:189,high,189
5493000EKZWTYZXUW582,,,,unmatched,204,195,189,IL:189;WI:2;FL:2;MO:1;OH:1,low,189
549300OR2C7AGDZFTS24,,,,unmatched,731,606,188,MO:355;IL:188;TN:23;FL:9;SC:4;VA:3;LA:2;AR:2;OK:2;TX:2,medium,188
254900WTZC5SSKIN2M11,,,,unmatched,4245,2709,187,NC:235;IL:187;TX:181;GA:169;MD:143;FL:142;CA:124;CT:119;SC:111;MA:107,high,187
