lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,me_originations,states_with_originations,priority_match,maine_originations
549300MN2NONI4E6X341,,,,unmatched,67,43,34,ME:34;NH:6;FL:1;NY:1;CT:1,low,34
5493000JBDASEOSXCI67,,,,unmatched,406,298,34,NH:263;ME:34;MA:1,low,34
549300BUIG4G67S5O712,,,,unmatched,821,466,32,RI:346;CT:50;ME:32;NH:31;MA:7,low,32
549300SJYSEN2J8N3I32,,,,unmatched,45,27,27,ME:27,low,27
254900IHSZUFLA4J1Q14,,,,unmatched,38,25,25,ME:25,low,25
549300GCEUZLVML1J263,,,,unmatched,2393,1885,23,MA:908;PA:474;MD:101;NC:74;NH:71;GA:66;FL:48;RI:42;TX:26;ME:23,high,23
549300EWO1QALFC6LE98,,,,unmatched,935,646,23,NH:620;ME:23;MA:2;VT:1,medium,23
TKT6FH38184ZYBTPKS77,,,,unmatched,6320,3419,22,MA:3239;NH:86;RI:53;ME:22;FL:19,high,22
549300H8H31LPYGJEW50,,,,unmatched,1728,1342,20,MA:1194;NH:105;ME:20;RI:17;FL:6,high,20
25490093XKEEYF9N9X26,,,,unmatched,22,17,17,ME:17,low,17
984500D61DCEC4E2B661,,,,unmatched,945,686,15,FL:297;NM:239;CO:34;NH:26;ME:15;NC:13;GA:13;MA:12;TX:10;MO:6,medium,15
549300QHFDNFAMLATM94,,,,unmatched,84,48,13,NH:35;ME:13,low,13
5493003B2LEGQHDWRN55,,,,unmatched,1477,885,12,MA:652;NH:72;VA:35;CT:17;RI:14;ME:12;MD:10;NJ:9;CA:9;FL:8,high,12
549300S5NLOTO329NX77,,,,unmatched,648,571,12,NY:409;NJ:56;VT:28;MA:22;CT:19;NH:16;ME:12;PA:5;RI:3;FL:1,medium,12
5493005HTCBH4TWCVM82,,,,unmatched,801,523,12,CT:332;MA:152;NH:14;ME:12;RI:6;FL:5;MD:1;VT:1,medium,12
549300N38Q5YKSSV1106,,,,unmatched,2035,1618,10,MA:1399;CT:99;RI:55;NH:40;ME:10;FL:10;VT:5,high,10
WV0OVGBTLUP1XIUJE722,,,,unmatched,5566,3106,9,CT:1541;MA:616;NY:564;NJ:215;RI:105;PA:21;FL:14;NH:11;ME:9;CA:3,high,9
5493006NTCY0P06JR884,,,,unmatched,1543,979,9,MA:930;NH:37;ME:9;RI:3,high,9
254900JKWAH734HBIE78,,,,unmatched,1310,927,9,VT:500;NH:417;ME:9;MA:1,medium,9
549300HI3FIGFR7SU483,,,,unmatched,62,40,8,NH:32;ME:8,low,8
5493009BOQDC6PCFR785,,,,unmatched,4244,2740,7,NY:1922;PA:480;CT:113;MA:85;NH:74;VT:57;ME:7;FL:2,high,7
549300JXG84BHZE66C26,,,,unmatched,223,174,7,MA:103;NH:63;ME:7;VT:1,medium,7
549300L4PTYXDMX1GS50,,,,unmatched,877,646,6,MA:495;NH:140;ME:6;CT:3;RI:2,medium,6
