lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ny_originations,states_with_originations,priority_match,new_york_originations
549300HCNXMTNGIMAR91,,,,unmatched,2158,1493,244,VA:309;NY:244;NJ:232;MA:167;MD:111;NC:67;GA:44;CA:41;DC:35;FL:34,high,244
5493005PD34O8ZT7QT17,,,,unmatched,10284,7256,241,OH:1513;PA:757;IL:469;MI:431;MO:365;NJ:321;TX:319;AL:292;GA:244;NY:241,high,241
549300QY4UCP33T94N09,,,,unmatched,502,340,240,NY:240;PA:32;CT:23;FL:17;NJ:15;SC:7;DE:4;NC:1;MA:1,medium,240
5493002PHB6PE87OB729,,,,unmatched,306,250,238,NY:238;PA:12,medium,238
549300MHH03ICJYEPE85,,,,unmatched,8187,5120,235,CA:1040;FL:396;TX:315;NY:235;AZ:220;UT:193;MA:191;TN:179;CO:166;NC:147,high,235
254900VELJPWWT51WN03,,,,unmatched,5625,4489,229,CA:1623;WA:364;TX:314;GA:307;MA:300;NC:289;NY:229;FL:142;NJ:123;OH:104,high,229
254900FMBXF85WQYV433,,,,unmatched,382,287,223,NY:223;NJ:12;CA:11;CT:5;DC:5;MD:4;MA:4;PA:2;MI:2;WA:2,medium,223
549300EZG6KIP4HOUR65,,,,unmatched,353,220,220,NY:220,medium,220
549300BOYV1JVWTO8O89,,,,unmatched,260,214,214,NY:214,medium,214
549300INFJ8TYNZ1G568,,,,unmatched,6522,6065,192,CA:1748;FL:485;TX:359;CO:314;WA:265;AZ:233;IL:200;NY:192;NJ:178;NC:172,high,192
254900MWCJLSHMSYCL19,,,,unmatched,291,198,192,NY:192;FL:3;PA:1;CT:1;NJ:1,medium,192
95JW06YV3JUTCH0IJV88,,,,unmatched,210,192,192,NY:192,medium,192
254900IRE136HFEI2562,,,,unmatched,436,285,188,NY:188;NJ:22;CT:21;CA:17;FL:14;MA:4;NC:3;VT:3;PA:3;TN:2,medium,188
549300A7YGYUVVWJ2M57,,,,unmatched,241,191,186,NY:186;FL:4;TX:1,medium,186
549300VJQJVZKJBDWS17,,,,unmatched,9038,6553,185,CT:3299;MA:1361;NH:320;ME:313;FL:201;NY:185;RI:148;MD:119;PA:117;NJ:112,high,185
549300E4YLQ3BVQ4GW30,,,,unmatched,676,417,182,NY:182;CA:134;NJ:51;FL:27;WA:6;CT:6;AZ:3;MA:3;TX:2;CO:1,medium,182
549300JZD4L02YZI3Z50,,,,unmatched,1621,1212,180,NJ:840;NY:180;FL:80;PA:38;GA:28;NC:9;CT:7;SC:5;WA:4;TX:4,high,180
254900WBNJ2MGXXXDY75,,,,unmatched,232,182,180,NY:180;TX:1;FL:1,medium,180
C398JSK21YCXWM603F55,,,,unmatched,11708,7752,179,IL:2719;WI:1224;CA:371;IA:328;FL:252;MN:237;MI:223;NY:179;TX:179;NC:174,high,179
549300BN4MNW5KE16X83,,,,unmatched,862,480,178,NJ:292;NY:178;PA:10,medium,178
254900V6GCDMRQZ34D96,,,,unmatched,1778,987,176,CA:302;FL:217;NY:176;NJ:67;TX:30;AZ:26;PA:22;MA:18;CO:14;CT:14,high,176
549300W2DSERWC01YR18,,,,unmatched,223,169,167,NY:167;PA:1;NJ:1,medium,167
549300Z1CDO1XR2ZMQ19,,,,unmatched,405,166,166,NY:166,medium,166
