lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,wv_originations,states_with_originations,priority_match,west_virginia_originations
DZC62HF6UIZYJ08V1J90,,,,unmatched,9754,6400,19,PA:3211;NJ:1233;VA:797;MD:744;DE:289;DC:70;NC:24;WV:19;FL:6;SC:4,high,19
549300OSZK2W0WJYS771,,,,unmatched,2063,1248,19,VA:766;MD:112;FL:91;NC:62;SC:32;GA:21;PA:20;WV:19;DC:14;TN:14,medium,19
549300IPUHFA5O769M51,,,,unmatched,2126,1689,16,MD:539;CA:437;VA:393;DC:125;TX:87;FL:18;WV:16;TN:10;OR:10;AZ:9,high,16
549300LXUXE7P1Q87D65,,,,unmatched,36,24,16,WV:16;VA:8,low,16
549300DFQK7P8BBRWA45,,,,unmatched,42,32,15,OH:15;WV:15;PA:2,low,15
5493002G1DPDOKT55X37,,,,unmatched,405,241,14,OH:139;KY:88;WV:14,low,14
54930009M8OIJWECQX81,,,,unmatched,1876,1287,13,MD:1005;DE:129;VA:95;PA:22;WV:13;DC:5;FL:5;SC:4;NC:4;TX:1,medium,13
549300IYR2K45YQJGV33,,,,unmatched,559,481,12,PA:346;MD:67;DE:35;VA:18;WV:12;NY:2;OH:1,medium,12
54930007EJ1IS7U47Q27,,,,unmatched,12,12,12,WV:12,low,12
549300JLXD89NGKXMS84,,,,unmatched,977,592,11,FL:197;TX:152;ND:53;ME:44;CO:41;VA:38;OK:24;SC:12;WV:11;NC:7,medium,11
254900NURL1XA7P0O968,,,,unmatched,88,80,11,VA:64;WV:11;SC:3;TN:1;NC:1,low,11
2549009NMZ1FPA016I77,,,,unmatched,38,29,11,VA:18;WV:11,low,11
5493005CFFMKTUKLO381,,,,unmatched,1760,1346,10,PA:1188;MD:131;WV:10;DE:4;VA:4;NJ:3;FL:3;UT:1;AR:1;SC:1,high,10
549300G8SAGXEDF5FK39,,,,unmatched,249,172,10,LA:127;KY:18;TX:12;WV:10;MS:2;SC:1;GA:1;KS:1,low,10
549300L1U2HOTC8O4K95,,,,unmatched,149,98,10,KY:77;WV:10;OH:9;FL:2,low,10
254900FE6QJXGH3VIA90,,,,unmatched,49,38,9,MD:26;WV:9;PA:3,low,9
549300Z736FEFLWQ4G83,,,,unmatched,40,31,9,OH:22;WV:9,low,9
549300TTPRGSP8DGY569,,,,unmatched,696,471,8,VA:134;MD:113;DC:55;CA:20;FL:14;NC:11;NJ:10;PA:8;OK:8;WV:8,medium,8
5493002Z4GZF8C2F3T27,,,,unmatched,51,16,8,WV:8;NC:1;SC:1;MN:1;OR:1;NY:1;MI:1;OH:1;NJ:1,low,8
549300Q745S62Q6QNW78,,,,unmatched,297,261,8,VA:251;WV:8;TN:1;SC:1,low,8
549300BKWR5OM8PWIN62,,,,unmatched,1109,897,7,MD:496;VA:182;NC:91;FL:48;PA:26;DC:15;DE:14;NJ:9;WV:7;OH:5,medium,7
549300BHPLBG0CXKTL06,,,,unmatched,2265,1531,6,PA:1409;FL:24;OH:24;NC:17;MD:10;VA:10;WV:6;CA:4;NJ:4;CT:3,high,6
549300D1PL8LHKCBST97,,,,unmatched,1285,1076,6,PA:1040;MD:15;WV:6;FL:5;DC:4;VA:3;OH:1;NC:1;SC:1,high,6
549300QBX5R3ZBD8FR12,,,,unmatched,592,466,6,OH:182;NC:109;SC:79;PA:27;IN:15;LA:15;KY:11;TN:8;WV:6;MI:5,medium,6
549300YNUT7D0FWKU636,,,,unmatched,2071,1527,6,OH:1309;PA:200;WV:6;IN:3;SC:2;TX:1;NC:1;CO:1;TN:1;FL:1,medium,6
5493006HFDG31YJ3MM36,,,,unmatched,483,253,6,OH:119;KY:25;IN:24;MI:14;CA:14;VA:13;FL:8;LA:7;WV:6;IL:5,low,6
5493002YYAGPQ7L1YS68,,,,unmatched,135,116,6,MD:77;PA:25;WV:6;FL:4;NC:1;DC:1;VA:1;SC:1,low,6
5493007KLU19FK8PG279,,,,unmatched,285,169,6,MD:115;VA:15;DC:10;NC:10;WV:6;DE:3;GA:2;PA:2;IL:2;OH:2,low,6
549300ZAZI235VM8Q149,,,,unmatched,497,437,5,VA:308;NC:99;MD:13;DC:6;SC:6;WV:5,medium,5
549300F2GDWKJH3GMB47,,,,unmatched,1483,686,5,MD:608;VA:42;DC:7;DE:5;WV:5;SC:4;PA:4;NJ:2;NC:2;IN:1,medium,5
549300CGYC6O4770DL96,,,,unmatched,161,92,5,KY:73;OH:14;WV:5,low,5
549300SWKVL60SKWK981,,,,unmatched,11081,6476,4,PA:6367;MD:56;NJ:18;SC:5;NC:5;FL:5;DE:4;VA:4;WV:4;GA:1,high,4
