lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,fl_originations,states_with_originations,priority_match
549300T94GSH3C4U5M59,,,,unmatched,7675,4160,679,CA:1937;FL:679;GA:331;NJ:280;PA:208;TX:189;NC:173;TN:117,high
549300EKFFG3BU8DNX74,,,,unmatched,7022,3829,672,CA:1752;FL:672;TX:565;GA:182;NJ:179;PA:142;NC:118;SC:101,high
549300HRLROF7PLJ6735,,,,unmatched,3638,2221,661,CA:898;FL:661;TX:286;GA:157;TN:59;PA:43;NJ:37;NC:32,high
549300SK2GVCQXPD4S58,,,,unmatched,9088,4865,658,CA:1697;TX:1058;FL:658;GA:358;NC:246;TN:239;NJ:169;SC:145,high
549300XQ7B5FIVUNFE29,,,,unmatched,1732,1108,652,FL:652;TN:202;NC:112;TX:54;GA:41;CA:28;SC:12;PA:3,high
2549005K0ZG1MFV3R260,,,,unmatched,1648,865,644,FL:644;TX:61;CA:44;NJ:38;GA:33;NC:11;SC:9;NY:8,high
2549004Z576VEJBK3N72,,,,unmatched,3299,2032,640,FL:640;CA:361;NY:343;NJ:236;TX:128;GA:98;PA:63;MA:60,high
54930043BMDE130FJ617,,,,unmatched,10189,6449,632,TX:1706;CA:1208;PA:892;NC:669;FL:632;GA:602;NJ:423;TN:179,high
213800QUAI2VH5YM6310,,,,unmatched,2789,2116,627,FL:627;NJ:599;NY:269;MA:257;PA:149;TN:68;DC:54;NC:31,high
254900O2K17TNH5CL873,,,,unmatched,4918,3857,624,TX:900;NJ:692;FL:624;PA:592;MA:433;NC:248;CA:177;GA:63,high
549300ZPSJZO10ZAX556,,,,unmatched,5638,2702,621,FL:621;TX:462;CA:274;NY:256;NC:214;GA:174;PA:172;SC:160,high
254900HA4DQWAE0W3342,,,,unmatched,8606,5158,619,TX:1692;GA:705;FL:619;CA:540;PA:524;TN:311;NJ:300;NC:253,high
5493001HHBUTXHS7TZ96,,,,unmatched,2142,1698,614,CA:865;FL:614;TN:115;TX:104,high
549300QD5CQZ9PPP5B09,,,,unmatched,2235,1160,606,FL:606;CA:553;NJ:1,high
549300EM8ID8J7F8OM55,,,,unmatched,3994,3292,603,SC:1380;NC:691;FL:603;GA:452;DC:86;PA:46;MA:17;CA:5,high
5493005PT09Z02WXW551,,,,unmatched,925,609,601,FL:601;CA:4;TN:2;NC:1;GA:1,high
254900DRSIZBQXDCJ875,,,,unmatched,2039,2039,590,FL:590;CA:463;TX:382;GA:205;NC:175;TN:85;PA:70;NJ:21,high
54930052M48FOD3CWA54,,,,unmatched,4245,2938,582,FL:582;NC:479;TX:475;CA:363;TN:283;PA:272;SC:184;MA:132,high
549300R0SXC1JU7ZU290,,,,unmatched,6654,5039,575,TN:2461;FL:575;GA:520;PA:402;NC:350;TX:228;MA:227;CA:126,high
5493001ZUNE2DKEA4702,,,,unmatched,1232,586,574,FL:574;GA:11;CA:1,high
