lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,in_originations,states_with_originations,priority_match
5493008NWHQT1R22C024,,,,unmatched,22722,13125,429,FL:1724;CA:1554;VA:897;TX:880;NY:827;AZ:698;MI:616;GA:565;SC:484;IN:429,high
549300UG7QXKM7KGV847,,,,unmatched,8724,4960,417,TX:943;IN:417;NY:318;OH:273;GA:245;PA:211;IL:207;MI:199;FL:183;MO:182,high
SS1TRMSN6BRNMOREEV51,,,,unmatched,19117,9656,410,MI:2677;TX:943;CA:934;FL:737;IN:410;NY:367;GA:351;AZ:303;OH:300;NJ:204,high
549300T9P3WXNMXX0I34,,,,unmatched,11998,8425,394,WI:1245;PA:1110;OH:1044;NC:765;FL:693;IL:563;IN:394;TN:333;VA:290;TX:224,high
549300H3YPB6EJ1RV917,,,,unmatched,516,434,385,IN:385;OH:46;MI:2;TN:1,low
549300R0SXC1JU7ZU290,,,,unmatched,13447,10308,376,TN:2461;OH:1167;MI:696;FL:575;GA:520;VA:503;AL:495;PA:402;KY:386;IN:376,high
254900LDNBFL67R4FW27,,,,unmatched,1909,1089,373,OH:659;IN:373;MI:44;FL:5;KY:3;GA:1;IL:1;TN:1;TX:1;NC:1,medium
549300WRDGBHKR1BXL98,,,,unmatched,1383,1014,369,IN:369;MA:146;OH:100;IL:93;MO:82;LA:49;FL:23;TX:13;NY:10;GA:10,medium
5493002Y5XYV7DV1ZV88,,,,unmatched,11225,6891,364,FL:1346;MI:1280;TX:409;IN:364;NV:325;NC:308;CO:278;WY:244;WA:213;OH:203,high
5493001XKL0FTNOJ0866,,,,unmatched,8198,5554,359,AZ:794;MO:589;FL:414;TX:386;IN:359;OH:291;GA:260;IL:215;LA:188;NM:163,high
4LJGQ9KJ9S0CP4B1FY29,,,,unmatched,3745,2539,341,KY:2044;IN:341;OH:114;FL:23;TN:6;MI:4;SC:2;NC:2;GA:1;IL:1,medium
549300VIKSC6B00SLF36,,,,unmatched,425,347,340,IN:340;FL:3;TN:1;GA:1;SC:1;IL:1,low
549300Y7HCU10KIRLG30,,,,unmatched,602,439,331,IN:331;IL:95;FL:5;GA:2;MI:2;CA:1;VA:1;ND:1;AL:1,low
549300157R33LDICP344,,,,unmatched,5510,4473,321,OH:1720;PA:1292;NC:894;IN:321;SC:166;MI:80,high
WKN6AF1FCL7BBYGTGI83,,,,unmatched,1283,714,316,IN:316;FL:34;CA:31;GA:24;NC:22;TN:20;MO:20;IL:17;MI:16;AZ:16,medium
549300LEOR2LO8J9RT29,,,,unmatched,3066,2542,311,OH:1130;KY:753;IN:311;GA:208;MO:96;FL:44,medium
549300SQH6MBVMMRRA85,,,,unmatched,601,374,305,IN:305;MI:21;NC:8;IL:7;CA:6;CT:5;FL:5;OH:4;GA:3;NJ:2,low
549300QSOO0QJ7R1VQ66,,,,unmatched,424,302,302,IN:302,low
984500FBG4CPBEI5EH05,,,,unmatched,977,977,296,OH:464;IN:296;KY:216;MI:1,medium
549300I0ICF6REKHOC74,,,,unmatched,3583,2753,294,MD:1148;AZ:360;IN:294;SC:234;PA:137;FL:129;TX:80;DE:63;AL:54;NC:48,high
