lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,md_originations,states_with_originations,priority_match
549300CLRXFVF83ZL806,,,,unmatched,5839,3929,98,NY:2070;NJ:486;FL:463;PA:182;NC:102;MD:98;CT:83;OH:63;TX:57;GA:56,high
549300FFPMB9B7FHNR61,,,,unmatched,205,141,93,MD:93;VA:19;NC:7;PA:7;FL:4;DC:4;TX:2;SC:2;NV:1;GA:1,low
549300D2OYT7VTDY6Z20,,,,unmatched,438,269,90,MD:90;NJ:48;VA:37;FL:14;GA:11;NC:11;CA:8;PA:6;IL:6;DC:4,medium
54930048P8RWCQHQM310,,,,unmatched,5439,3131,89,CA:504;NY:503;FL:380;TX:240;NJ:231;AZ:117;MA:110;CT:108;MD:89;CO:86,high
549300PRAPL43XPYR044,,,,unmatched,2026,1364,89,CA:758;TX:212;VA:184;MD:89;GA:59;FL:15;CO:11;NV:11;NC:6;WA:5,high
254900EZRN0CBEP77K34,,,,unmatched,1167,563,86,VA:170;MD:86;DC:38;CA:31;FL:18;NC:17;TX:15;IL:15;SC:14;GA:12,medium
549300XED7IBK9VVQH70,,,,unmatched,3799,2898,83,DE:1176;TX:273;KY:273;PA:136;NY:114;CO:105;IN:99;VI:84;MD:83;CA:75,high
5493009RSCJ6Y7LUWJ31,,,,unmatched,356,356,83,PA:192;MD:83;VA:31;CA:11;NJ:9;TX:8;NC:7;FL:6;GA:4;TN:3,medium
549300CDOC4F7XSRG390,,,,unmatched,8293,5548,82,TN:2808;NC:1222;SC:417;VA:248;AL:224;GA:200;FL:107;MD:82;KY:51;MS:51,high
549300T82SC9BPCIU410,,,,unmatched,174,140,82,MD:82;WV:47;PA:11,low
5493003PL2K1NXVSU388,,,,unmatched,372,365,77,PA:283;MD:77;FL:1;WV:1;VA:1;TX:1;GA:1,medium
5493002YYAGPQ7L1YS68,,,,unmatched,135,116,77,MD:77;PA:25;WV:6;FL:4;NC:1;DC:1;VA:1;SC:1,low
549300MSU5WVAU4ZN645,,,,unmatched,7196,4961,75,PA:3102;OH:1229;VA:228;MD:75;SC:71;GA:59;NC:50;MN:25;FL:18;TN:13,high
5493009D2COWW65B8673,,,,unmatched,1133,518,75,CA:250;MD:75;FL:37;IL:22;UT:21;VA:17;AZ:15;CO:9;TX:7;AL:6,medium
549300LWL6LDRPYWVK06,,,,unmatched,112,88,75,MD:75;DE:7;VA:3;FL:2;DC:1,low
549300MPX7PJGFD8HA09,,,,unmatched,99,80,75,MD:75;DE:4;FL:1,low
254900YPPMV9UM5FUW09,,,,unmatched,1833,1256,74,NC:334;LA:256;MS:126;VA:100;DC:91;GA:80;MD:74;FL:47;IL:28;TX:15,high
549300XA6P3X1GTJEY80,,,,unmatched,109,105,74,MD:74;VA:8;PA:8;TX:2;FL:2;CT:1;IA:1;CA:1;DE:1;TN:1,low
549300OPB0G5OMY0SM65,,,,unmatched,5481,3822,73,CA:2430;TX:253;GA:163;FL:151;IL:149;NV:127;MD:73;VA:71;NJ:70;PA:44,high
254900NZCGMT6517BA94,,,,unmatched,2319,1229,73,VA:1101;MD:73;WV:37;NC:9;DC:9,medium
549300AOB4S7B0DB7863,,,,unmatched,771,425,71,VA:93;MD:71;FL:54;WV:29;NJ:20;GA:20;CA:18;DC:17;TX:16;NC:15,medium
549300XRGNVNCISU8Q79,,,,unmatched,179,82,71,MD:71;VA:2;DC:2;NC:2;NJ:1;AZ:1;PA:1;FL:1;DE:1,low
549300ZIQ24V0C88AC41,,,,unmatched,3616,2102,69,FL:933;CA:430;WA:89;TN:86;AZ:78;MD:69;OR:65;NC:59;GA:31;NJ:29,high
254900EDYO1UYWLWP146,,,,unmatched,286,231,68,WV:125;MD:68;PA:29;VA:4;NC:3;FL:1;SC:1,low
5493005R34FLBMCPWB41,,,,unmatched,2586,1730,67,VA:708;PA:305;SC:187;NC:141;DE:135;FL:91;MD:67;NJ:47;WV:42;TN:3,high
549300IYR2K45YQJGV33,,,,unmatched,559,481,67,PA:346;MD:67;DE:35;VA:18;WV:12;NY:2;OH:1,medium
549300DE8TS4EYTPX729,,,,unmatched,5588,4153,64,NJ:1545;PA:992;FL:445;IL:355;TX:171;MA:141;ME:133;LA:87;MD:64;VA:39,high
5493005DKMV1IHIM8E20,,,,unmatched,5671,3884,64,PA:1700;DE:1210;NJ:555;MD:64;FL:52;CA:47;NC:28;GA:26;VA:25;SC:18,high
549300I316H4TE334G62,,,,unmatched,619,544,63,PA:478;MD:63;DE:2;VA:1,medium
549300HJP2WLL8KDCA15,,,,unmatched,325,190,63,DE:125;MD:63;VA:2,low
549300A5HHOL2ED18C72,,,,unmatched,6706,3194,62,CA:1372;FL:389;TX:211;LA:85;WI:71;MD:62;OH:61;NC:58;MI:55;IL:55,high
254900IEGKUDRDS23V26,,,,unmatched,3353,2352,62,CA:1161;NV:182;TX:181;FL:126;GA:80;VA:70;MD:62;WA:60;AZ:52;HI:44,high
549300EFCZM6KD6B8K69,,,,unmatched,2260,1578,62,NJ:593;PA:165;TX:120;VA:82;MI:62;MD:62;ID:32;TN:32;NC:30;OK:30,high
984500P059VACEAAFA22,,,,unmatched,1434,875,62,IL:170;TX:127;NC:111;MD:62;IN:47;CA:38;WI:32;OH:30;FL:28;GA:24,medium
549300OS8C7J7ZWMNL70,,,,unmatched,755,512,62,VA:238;WV:183;MD:62;KY:13;DE:6;TN:3;NC:2;DC:2;PA:1;OH:1,medium
254900W5FH4XO4DKJB28,,,,unmatched,97,67,61,MD:61;DE:4;DC:1;NC:1,low
549300DCGBXW5FJMV921,,,,unmatched,3255,3255,57,CA:2145;CO:168;TX:163;GA:124;WA:96;FL:94;IL:75;VA:60;MD:57;NJ:49,high
549300XO2MXF3RX56J09,,,,unmatched,94,62,57,MD:57;PA:3;DE:2,low
549300P5XMXPZNGV5915,,,,unmatched,68,57,57,MD:57,low
549300SWKVL60SKWK981,,,,unmatched,11081,6476,56,PA:6367;MD:56;NJ:18;SC:5;NC:5;FL:5;DE:4;VA:4;WV:4;GA:1,high
549300NT030LXB2A8T82,,,,unmatched,1191,880,56,FL:742;MD:56;NJ:28;TX:18;GA:11;VA:6;NC:5;PA:4;WV:2;DC:2,high
549300AN5V81GRYDJ823,,,,unmatched,228,99,53,MD:53;VA:10;PA:9;DC:6;NJ:4;DE:3;NC:3;FL:3;MO:2;UT:1,low
549300TULDV69V2XKY60,,,,unmatched,524,343,52,VA:70;CA:55;MD:52;DC:21;FL:21;AZ:13;NC:12;PA:11;GA:11;NJ:8,medium
549300P55E0GN57DEV03,,,,unmatched,1751,1089,51,CA:569;TX:154;FL:150;GA:95;MD:51;VA:29;AZ:13;IL:9;NC:4;TN:3,high
