lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,nh_originations,states_with_originations,priority_match
254900PJVECT3YD6KY88,,,,unmatched,19,18,9,NH:9;MA:3;NC:3;ME:2;NY:1,low
549300OQ3UC55Y6EPP22,,,,unmatched,318,271,9,VT:262;NH:9,low
549300LI67PLCC1Z3P80,,,,unmatched,512,330,8,MA:296;CT:14;RI:10;NH:8;VT:1;FL:1,medium
5493006Q43B8FBFUVL12,,,,unmatched,184,146,8,MA:138;NH:8,medium
549300BNF48S5Z88UL34,,,,unmatched,184,127,8,MA:119;NH:8,medium
549300T2FOBK6WY4B349,,,,unmatched,1197,771,8,VT:740;NY:8;NH:8;FL:4;NC:2;MD:2;PA:1;MA:1;KY:1;NJ:1,medium
549300XTSMAC5DOX6447,,,,unmatched,494,382,7,MA:357;RI:9;NH:7;CT:5;ME:3;VT:1,medium
549300J8Y8IPQFMMIT88,,,,unmatched,369,253,7,MA:231;RI:8;NH:7;IL:2;NC:1;ME:1;IN:1;MI:1;FL:1,medium
549300HRKD2IJSOPRA57,,,,unmatched,293,255,7,MA:184;CT:37;RI:11;FL:8;NH:7;ME:5;SC:2;NY:1,medium
549300SZBQMYMAL3OM08,,,,unmatched,245,187,7,MA:169;NH:7;RI:6;CT:2;ME:2;FL:1,medium
549300P4KO88PZ6HZH66,,,,unmatched,36,29,7,MA:22;NH:7,low
254900LKAJBFGO0IIP75,,,,unmatched,2115,1702,6,TX:1171;KY:285;NC:99;OH:81;MA:45;GA:8;NH:6;FL:3;CT:2;ME:1,high
549300MUTFJQGRZJH019,,,,unmatched,823,576,6,MA:530;CT:10;FL:10;NH:6;ME:5;SC:5;VT:3;NC:2;RI:2;NJ:1,high
549300OTLWFQPOOSC346,,,,unmatched,936,717,6,MA:496;RI:164;CT:14;NH:6;NY:5;NJ:5;AZ:5;ID:4;FL:4;PA:3,high
549300KWXO8FUM7L0E14,,,,unmatched,3885,3060,6,CT:2765;MA:269;RI:18;NH:6;FL:1;PA:1,medium
2549006A34A1F1ZGTT81,,,,unmatched,209,178,6,MA:168;NH:6;CT:2;ME:1;RI:1,medium
549300KT5OWPGQKWUN86,,,,unmatched,523,415,6,RI:212;MA:99;CT:29;PA:22;TX:16;NJ:14;FL:10;NH:6;CA:1;NY:1,medium
549300BN61BPY0L0H441,,,,unmatched,118,74,6,MA:68;NH:6,medium
254900YEG6LSF1BFA422,,,,unmatched,94,72,6,MA:66;NH:6,medium
549300MN2NONI4E6X341,,,,unmatched,67,43,6,ME:34;NH:6;FL:1;NY:1;CT:1,low
5493000FSTFO9AWR2J40,,,,unmatched,1266,777,5,MA:761;RI:11;NH:5,high
5493004LN4GS7BNXIO13,,,,unmatched,560,370,5,MA:361;NH:5;CT:2;ME:1;FL:1,medium
549300C2GTHMQQJ5CS20,,,,unmatched,240,200,5,MA:191;NH:5;ME:2;FL:1;VT:1,medium
549300HKYBSATM44Q425,,,,unmatched,2241,1290,5,RI:1040;MA:158;CT:83;NH:5;ME:4,medium
549300B1DHIVKN5DEJ29,,,,unmatched,100,81,5,MA:76;NH:5,medium
549300Q61S3IBOJITT02,,,,unmatched,1510,1079,4,MA:801;RI:261;CT:8;NH:4;FL:4;ME:1,high
549300SIZ5KBISEZE503,,,,unmatched,694,470,4,MA:441;RI:13;CT:8;NH:4;ME:4,medium
549300CHBB3GN7JFXU86,,,,unmatched,655,474,4,MA:394;FL:35;VT:33;NH:4;RI:3;ME:2;CT:1;AL:1;TX:1,medium
549300RS5LTZ0JDZYI59,,,,unmatched,373,311,4,MA:300;NH:4;RI:4;ME:3,medium
5493009OLY1HC3F0SB77,,,,unmatched,1220,834,4,CT:569;MA:166;NY:67;FL:18;RI:5;NH:4;SC:3;NJ:2,medium
5493000GDQJIBPCUBG13,,,,unmatched,111,57,4,MA:50;NH:4;ME:1;FL:1;VT:1,medium
2549007JFUKTY2NW6090,,,,unmatched,25,19,4,MA:15;NH:4,low
5493000NZZZU3GFIYL71,,,,unmatched,860,562,3,MA:552;RI:3;NH:3;ME:1;AL:1;CT:1;FL:1,high
549300NZ2IPWRMLAYZ30,,,,unmatched,494,343,3,NY:256;MA:35;FL:12;VA:9;MD:7;NJ:6;SC:4;CT:3;NC:3;NH:3,medium
5493007Y306QGNH6J842,,,,unmatched,159,121,3,MA:117;NH:3;RI:1,medium
549300N16X2LRUQEUQ50,,,,unmatched,80,60,3,MA:57;NH:3,medium
54930067K4Z4NIZ4W068,,,,unmatched,58,55,3,MA:49;NH:3;FL:2;RI:1,medium
549300CPZ5G5IZWT7878,,,,unmatched,88,52,3,MA:49;NH:3,low
549300UWBYWOAZYM9C07,,,,unmatched,68,47,3,MA:43;NH:3;ME:1,low
549300DDRY04AJC3ZZ52,,,,unmatched,459,378,3,ME:375;NH:3,low
5493007XQ02VMXYJYJ21,,,,unmatched,2842,1957,2,MA:1955;NH:2,high
549300KV83NH6PNL5E48,,,,unmatched,1124,875,2,MA:744;CT:123;VT:3;FL:2;NH:2;SC:1,high
5493005DJAOTPGS83Z81,,,,unmatched,998,679,2,MA:640;CT:22;RI:8;FL:3;ME:3;NH:2;SC:1,high
5493008H38W2EPJ8ZQ43,,,,unmatched,740,492,2,MA:488;NH:2;RI:2,medium
549300UK3Z5PC7V71K69,,,,unmatched,2281,1572,2,RI:1317;MA:238;CT:6;FL:4;SC:2;ME:2;NH:2;NC:1,medium
5493007H0KZ81N1H6352,,,,unmatched,275,216,2,MA:185;CT:17;VT:4;SC:2;FL:2;NH:2;ME:2;NY:1;PA:1,medium
549300V8UCJTLZZT4M32,,,,unmatched,156,92,2,MA:86;ME:3;NH:2;CT:1,medium
5493008ZGR745OCU3U41,,,,unmatched,94,67,2,MA:65;NH:2,medium
254900X2A1JXHHUB4J39,,,,unmatched,50,36,2,MA:33;NH:2;RI:1,low
54930040WE4NGYGGO143,,,,unmatched,31,22,2,MA:20;NH:2,low
549300DRZGISDSL1BX02,,,,unmatched,148,80,2,CT:71;MA:3;NH:2;LA:2;FL:1;RI:1,low
5493009JEKX81THMLH86,,,,unmatched,663,396,2,ME:394;NH:2,low
549300H89M6KDLFKMQ19,,,,unmatched,486,331,2,ME:329;NH:2,low
5493004NH61PL6YYNH25,,,,unmatched,2441,1294,1,NJ:1180;NY:56;PA:48;FL:8;NH:1;TN:1,high
549300IYKILIU506KA05,,,,unmatched,1150,811,1,MA:571;CT:229;RI:6;ME:2;NH:1;NJ:1;PA:1,high
5493001HBUA9JSUEWO16,,,,unmatched,663,529,1,SC:467;GA:40;NC:17;TN:1;NH:1;OH:1;NV:1;FL:1,high
549300FNQXUCMCVLKL76,,,,unmatched,523,384,1,NJ:325;PA:27;NY:20;FL:6;CT:1;VA:1;AZ:1;MD:1;MA:1;NH:1,medium
549300SE1WZDU07WPD35,,,,unmatched,136,103,1,MA:99;CT:3;NH:1,medium
54930021FWO6J6IYPZ85,,,,unmatched,120,99,1,MA:98;NH:1,medium
549300BOX0L2YKKXKO38,,,,unmatched,110,85,1,MA:77;RI:7;NH:1,medium
549300M2W1M6WRAK9S59,,,,unmatched,116,78,1,MA:71;RI:6;NH:1,medium
549300TXFI7UH4GDK877,,,,unmatched,79,69,1,MA:67;RI:1;NH:1,medium
549300T5T60SK9MMCD03,,,,unmatched,65,54,1,MA:51;RI:2;NH:1,medium
549300P0GXZAWI355052,,,,unmatched,840,554,1,ME:551;FL:2;NH:1,medium
54930064FQE21RHEG647,,,,unmatched,758,543,1,ME:542;NH:1,medium
5493003VEEM09F16U659,,,,unmatched,110,43,1,MA:42;NH:1,low
549300GS4TO8CL1SR344,,,,unmatched,47,41,1,MA:40;NH:1,low
54930083CVF047DLXL67,,,,unmatched,43,26,1,MA:25;NH:1,low
5493005H0NK3SWWY4384,,,,unmatched,318,279,1,VA:223;MD:24;NC:9;DC:7;FL:3;WV:2;CO:2;OH:1;NH:1;PA:1,low
549300JH0WD7YX0UUZ21,,,,unmatched,30,19,1,MA:18;NH:1,low
