company_nmls_id,legal_name,source_families,source_record_keys
1168,AMERISAVE MORTGAGE CORPORATION,monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD743|FL|MONTHLY|MLD|MLD849|FL|NMLS|MLS|MLD849
1168038,"PRIDE ROCK MORTGAGE, LLC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR2837|FL|NMLS|MBR|MBR2837
116841,"MORTGAGE SUPERSTORE, INC.",monthly_mld,FL|MONTHLY|MLD|MLD542
116848,"FIRST SECURITIES FINANCIAL SERVICES, INC.",monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD35|FL|NMLS|MLD|MLD35
1169,"PREMIER MORTGAGE RESOURCES, L.L.C.",monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD2088|FL|NMLS|MLS|MLD2088
1169300,"TIGER LOANS, INC.",monthly_mbr|monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD1558|FL|MONTHLY|MBR|MBR2083|FL|MONTHLY|MBR|MBR4276|FL|NMLS|MLD|MLD1558
1169321,BOYKIN HOME MORTGAGE LLC,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR4044|FL|NMLS|MBR|MBR4044
116973,"KEY LENDING SOLUTIONS, LLC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR8235|FL|NMLS|MBR|MBR8235
1170103,"EDISON MORTGAGE GROUP, INC.",monthly_mbr,FL|MONTHLY|MBR|MBR1561
1170166,"GROUP MORTGAGE, LLC",monthly_mld,FL|MONTHLY|MLD|MLD2447
1170583,COMMONWEALTH FINANCIAL SERVICES INC,monthly_mbr,FL|MONTHLY|MBR|MBR1728
1171053,"DIRECT EXPRESS MORTGAGE, LLC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1532|FL|NMLS|MBR|MBR1532
1171064,HLP MORTGAGE LLC,monthly_mld,FL|MONTHLY|MLD|MLD2000
11712,NETWORK CAPITAL FUNDING CORPORATION,monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD1513|FL|MONTHLY|MLD|MLD853|FL|NMLS|MLS|MLD1513
1172331,FIRST AMERICAN FINANCIAL SERVICES INC.,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1570|FL|NMLS|MBR|MBR1570
1172332,HARBUR HOLDINGS LLC,monthly_mbr,FL|MONTHLY|MBR|MBR5701
117273,NORTHEAST FINANCIAL LLC,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR5370|FL|NMLS|MBR|MBR5370
1172920,"SUMMIT LOAN PROCESSING, INC.",monthly_mbr,FL|MONTHLY|MBR|MBR1626
1172936,"NEWFOUND MORTGAGE, LLC",monthly_mbr|monthly_mld,FL|MONTHLY|MLD|MLD2102|FL|MONTHLY|MBR|MBR2163
117371,"WILLOW BEND MORTGAGE COMPANY, LLC",monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD667|FL|NMLS|MLD|MLD667
1173719,"CAPITAL MORTGAGE, LLC",monthly_mbr,FL|MONTHLY|MBR|MBR1594
1173744,AMERICAN INTERNATIONAL MORTGAGE SERVICES INC,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1555|FL|NMLS|MBR|MBR1555
117375,PRIME CHOICE FUNDING INC.,monthly_mbr|monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD1505|FL|MONTHLY|MBR|MBR1073|FL|NMLS|MLS|MLD1505
1174679,HOMERELIANCE CAPITAL CORP.,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR3527|FL|NMLS|MBR|MBR3527
1175236,"ELITE MORTGAGE GROUP, LLC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR3265|FL|NMLS|MBR|MBR3265
1175577,LOYAL LENDING SOLUTIONS LLC,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1539|FL|NMLS|MBR|MBR1539
1177,"LIVE WELL FINANCIAL, INC.",monthly_mld,FL|MONTHLY|MLD|MLD378
1177192,FIDELITY MUTUAL MORTGAGE LLC,monthly_mbr,FL|MONTHLY|MBR|MBR1963
1177206,ALL SUNSHINE MORTGAGE INC.,monthly_mbr,FL|MONTHLY|MBR|MBR1670
1177235,"PEREZ, ROBERT, ARMANDO",monthly_mbr,FL|MONTHLY|MBR|MBR2132
1177759,"THE MORTGAGE GUY, INC.",monthly_mbr,FL|MONTHLY|MBR|MBR4599
1178616,"HOME HARBOR FINANCIAL, LLC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1565|FL|NMLS|MBR|MBR1565
117864,"ELIAS LEGRA, INC.",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR892|FL|NMLS|MBR|MBR892
117894,"NEXTSTAR FUNDING, INC.",monthly_mbr,FL|MONTHLY|MBR|MBR282
1179099,"TITAN FUNDING, LLC",monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD1170|FL|MONTHLY|MLD|MLD2231|FL|NMLS|MLS|MLD2231
1179104,"AMERICAN RESIDENTIAL MORTGAGE LENDING,LLC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1563|FL|MONTHLY|MBR|MBR4840|FL|NMLS|MBR|MBR4840
117959,"LENDIRECT MORTGAGE, INC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR2259|FL|NMLS|MBR|MBR2259
117990,"FAIRFAX MORTGAGE INVESTMENTS, INC.",monthly_mbr,FL|MONTHLY|MBR|MBR2353
1180,"AVISTAR CAPITAL GROUP, LLC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR3381|FL|NMLS|MBR|MBR3381
118004,"UNITED PACIFIC REALTY AND INVESTMENT, INC.",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR924|FL|NMLS|MBR|MBR924
1180084,INNOVATIVE EDGE PROCESSING,monthly_mbr,FL|MONTHLY|MBR|MBR2489
118030,"UNIVERSAL MORTGAGE & FINANCE, INC.",monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD518|FL|NMLS|MLD|MLD518
1181151,AFFINITY HOME LENDING LLC,monthly_mbr|monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD2157|FL|MONTHLY|MBR|MBR1800|FL|NMLS|MLD|MLD2157
1181434,BRIDGEINVEST RESIDENTIAL LLC,monthly_mbr|monthly_mld,FL|MONTHLY|MLD|MLD1119|FL|MONTHLY|MLD|MLD1313|FL|MONTHLY|MBR|MBR5855
1181816,"SMAIL, KARIM",monthly_mbr,FL|MONTHLY|MBR|MBR5294
1183378,IFINANCE MORTGAGE INC.,monthly_mbr|monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD2622|FL|MONTHLY|MBR|MBR5557|FL|NMLS|MBR|MBR5557|FL|NMLS|MLD|MLD2622
1183381,"TRUST HOME LOANS,LLC",monthly_mbr,FL|MONTHLY|MBR|MBR1557
1183383,KEYSTONE HOME FINANCE LLC,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR5229|FL|NMLS|MBR|MBR5229
1183834,BLACK DIAMOND FINANCIAL LLC,monthly_mbr,FL|MONTHLY|MBR|MBR3571
1184206,"MORTGAGE CAPITAL ADVISORS II, LLC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR2344|FL|NMLS|MBR|MBR2344
1185031,"ATLAS CROWN FINANCIAL, INC.",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1771|FL|NMLS|MBR|MBR1771
1185045,FAMILY FINANCE MORTGAGE LLC,monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD1996|FL|NMLS|MLD|MLD1996
