lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,vt_originations,states_with_originations,priority_match
549300DD4R4SYK5RAQ92,,,,unmatched,81084,57781,0,NC:8138;WA:5559;VA:4339;FL:4122;PA:3902;SC:2978;GA:2388;TX:2367;TN:2207;CA:1690,high
AD6GFRVSDT01YPT1CS68,,,,unmatched,116536,61280,0,PA:11263;OH:6725;NJ:5755;IL:3711;FL:3475;MD:2948;TX:2930;MI:2885;IN:2802;CA:2688,high
549300AQ3T62GXDU7D76,,,,unmatched,121724,86111,0,TX:6877;WA:5691;MO:5462;CO:4338;OR:4218;CA:4118;UT:3981;NV:3882;GA:3788;AZ:3467,high
549300E2UX99HKDBR481,,,,unmatched,140816,57460,0,TX:5508;CA:5105;GA:4063;FL:3881;IL:3581;MO:2619;PA:2148;MN:1842;WA:1680;NC:1619,high
6BYL5QZYBDK8S7L73M02,,,,unmatched,151786,74632,0,CA:16135;IL:4571;MN:4538;OH:3965;MO:3622;WA:3524;WI:2785;KY:2645;OR:2465;FL:2279,high
549300MGPZBLQDIL7538,,,,unmatched,103697,74450,0,TX:7468;AZ:4724;IL:4215;IN:3665;GA:3631;FL:3153;NC:2993;WI:2947;CA:2867;OH:2685,high
JJKC32MCHWDI71265Z06,,,,unmatched,83470,41001,0,NC:7920;VA:6374;FL:6117;GA:4837;MD:3245;SC:2178;PA:2152;TN:2014;TX:1260;KY:1026,high
KB1H1DSPRFMYMCUFXT09,,,,unmatched,76304,41562,0,CA:9616;NY:2733;FL:2670;TX:2647;NC:2302;NJ:1716;PA:1628;WA:1514;GA:1509;MN:1496,high
549300LBCBNR1OT00651,,,,unmatched,79599,52217,0,CA:4657;TX:3609;FL:3546;GA:2560;IL:1982;NC:1949;OH:1768;VA:1764;PA:1746;AZ:1744,high
254900DTLHVWQ7NP7R34,,,,unmatched,58895,40038,0,CA:8432;FL:4627;TX:3502;AZ:2579;UT:1917;IL:1746;CO:1646;MI:1407;WA:1253;GA:1055,high
03D0JEWFDFUS0SEEKG89,,,,unmatched,46634,23499,0,NJ:6695;NY:4324;FL:2722;MA:1975;PA:1803;SC:1143;CT:1002;NH:997;ME:699;NC:555,high
549300PIL8LFAQ04XC20,,,,unmatched,108788,32174,0,CA:6742;FL:2675;AZ:1610;TX:1571;GA:1319;NJ:1279;NC:1116;WA:1086;VA:1024;CO:963,high
549300MZ8VZJOVC63092,,,,unmatched,45691,29401,0,CA:6409;TX:3781;FL:2662;UT:2249;GA:1421;OR:864;PA:782;WA:727;AZ:672;TN:597,high
254900UL88QFG0E40516,,,,unmatched,72355,33415,0,CA:5234;FL:2872;GA:1717;OH:1553;IL:1432;AZ:1416;NC:1212;NJ:1197;VA:1180;MI:1090,high
549300XQVJ1XBNFA5536,,,,unmatched,157783,28058,0,TX:6763;FL:2098;MI:1623;AL:1274;CA:1262;GA:1218;SC:1207;LA:1097;MS:1068;OK:888,high
254900ZFWS2106HWPH46,,,,unmatched,34318,23410,0,CA:3975;FL:3741;TX:3136;NJ:1490;AZ:1127;GA:977;CO:741;WA:701;OH:688;OR:635,high
549300RPOGWJRH63HS39,,,,unmatched,51423,37767,0,OH:5380;MI:4118;TX:3238;FL:2495;IN:2257;NC:2127;PA:1934;IL:1655;TN:1404;KY:1069,high
549300121SF0K2LN2804,,,,unmatched,33320,24706,0,TX:6358;SC:1561;MO:1496;NY:1278;CA:1208;OH:1134;FL:931;PA:746;WA:716;AZ:610,high
L9VVX1KT5TFTKS0MLF66,,,,unmatched,21831,14381,0,NC:6984;SC:3577;CA:1383;VA:664;GA:442;FL:266;MA:197;TN:106;AZ:95;TX:92,high
E57ODZWZ7FF32TWEFA76,,,,unmatched,33959,15812,0,CA:5786;NY:3687;IL:1251;NJ:707;FL:565;TX:506;MD:400;WA:317;VA:311;DC:281,high
5493001WHVQBGRSWEU75,,,,unmatched,25005,17312,0,CA:3155;FL:2433;NY:1590;TX:1135;NJ:989;GA:669;AZ:590;VA:485;NC:461;CO:424,high
549300XWUSRVVOHPRY47,,,,unmatched,28287,16190,0,FL:2938;TX:2750;GA:2402;CA:1342;MN:915;NY:748;MI:631;KY:499;CO:448;TN:425,high
549300YIQ7S7Z8PIHE53,,,,unmatched,94427,24298,0,FL:1667;CA:1635;NC:1353;GA:1343;TX:1068;PA:997;OH:991;VA:957;NJ:888;IL:882,high
IUGPUX5LWRZ3B6KIZ697,,,,unmatched,18359,13184,0,GA:5627;SC:1857;FL:1846;VA:724;NC:634;CA:484;MD:455;TN:394;AL:363;IL:140,high
2549005SIVTHG14U2905,,,,unmatched,24436,14692,0,FL:5245;CA:1446;TX:1050;NY:948;IL:550;GA:471;AZ:471;NJ:453;PA:339;SC:296,high
549300KIOYNU323LVJ37,,,,unmatched,34217,24774,0,CA:3554;IL:2402;TX:1947;WA:1911;FL:1750;AZ:1562;GA:1405;OR:860;TN:854;OH:854,high
549300OPCWU6E72WUT29,,,,unmatched,41778,24192,0,CA:1845;FL:1510;NC:1387;OH:1270;IL:1245;TX:1178;GA:1042;AZ:855;VA:839;TN:821,high
54930001NSTOD85LT125,,,,unmatched,24645,15934,0,CA:1539;FL:1458;PA:1342;NJ:1110;IL:970;TX:965;MA:816;MO:782;MN:709;OH:676,high
984500U2F9A83N391A91,,,,unmatched,18971,11067,0,FL:2262;CA:1367;TX:1262;NY:950;NJ:917;GA:409;AZ:367;PA:308;CT:294;NC:293,high
5493005PKOSG7MYX0B34,,,,unmatched,28926,20869,0,PA:2325;VA:2141;MN:1746;NC:1281;MD:1233;NJ:1060;GA:1024;CT:862;WI:782;AZ:775,high
549300JYXTZDSPJEPI44,,,,unmatched,23886,14594,0,TX:1897;FL:1239;NY:1222;CA:1056;PA:866;MN:713;MI:555;NC:515;IN:489;IL:475,high
5493001GDRY0EL7VG372,,,,unmatched,20194,15382,0,TX:4151;KY:1179;CO:914;FL:795;CA:751;SC:545;TN:524;MI:399;GA:387;AZ:384,high
54930054ET8KM4O1D485,,,,unmatched,55546,16189,0,CA:1778;FL:1042;NC:865;TX:858;NJ:752;IL:709;GA:704;PA:668;OH:585;VA:529,high
549300NOCASXPA34X033,,,,unmatched,69562,16372,0,FL:1488;TX:1422;CA:1244;GA:829;AZ:635;NC:610;VA:600;CO:583;WA:518;TN:495,high
549300370QILXLFUWD20,,,,unmatched,20147,14357,0,TX:1648;FL:1590;CA:1176;GA:1124;NC:1090;CO:635;AZ:603;MI:599;OH:481;VA:436,high
549300XY701IELCE5Q08,,,,unmatched,45682,14567,0,CA:1786;TX:1143;FL:1004;GA:685;NC:664;NJ:658;CO:512;OK:493;WA:480;IL:476,high
5493008NWHQT1R22C024,,,,unmatched,22722,13125,0,FL:1724;CA:1554;VA:897;TX:880;NY:827;AZ:698;MI:616;GA:565;SC:484;IN:429,high
549300MCIFZSDHUT8X63,,,,unmatched,24275,18920,0,OH:3308;MD:2255;FL:2000;VA:1310;NC:1137;TX:1055;NJ:1051;AZ:897;WA:843;CO:659,high
54930021WPEXNHYZUL09,,,,unmatched,18947,14467,0,TX:1597;FL:1206;GA:1125;CA:1003;PA:597;LA:585;VA:490;NC:417;OH:417;ID:411,high
549300R9S3MVDV4MGF56,,,,unmatched,52143,15089,0,FL:1296;CA:1022;GA:873;TX:848;IN:732;NC:680;OH:675;NY:576;MI:570;TN:533,high
549300GS0W0TEUQS8571,,,,unmatched,14182,10740,0,CA:1957;FL:990;NY:947;TX:573;NJ:548;MA:449;CO:427;IL:381;WA:350;GA:322,high
549300VORTI31GZTJL53,,,,unmatched,18123,12305,0,TX:2136;FL:1187;IN:791;TN:697;WI:497;NC:467;GA:453;MN:448;PA:446;NY:375,high
549300CB67L6KPJLHE19,,,,unmatched,72633,14578,0,TX:2321;CA:1644;MI:1245;MS:1014;FL:774;LA:606;AL:587;PA:553;WA:550;OR:426,high
5493004AS1SPBQOFDR49,,,,unmatched,14858,8804,0,CA:2752;FL:1313;TX:1230;NJ:438;CO:244;AZ:210;NC:195;MI:195;VA:193;TN:172,high
549300KTR1JGH3K6LU06,,,,unmatched,17668,7240,0,NY:4085;CA:552;FL:358;NJ:336;GA:195;NC:136;CT:119;PA:113;IL:112;WA:111,high
549300FX7K8PTEQUU487,,,,unmatched,26508,11278,0,VA:1455;CA:1113;TX:1055;FL:972;MD:652;GA:541;NC:517;NJ:449;PA:338;AZ:290,high
549300F8C5JA44WNMI75,,,,unmatched,18919,12172,0,VA:2520;NJ:1899;FL:856;NY:768;CT:755;MA:739;OH:544;IN:489;PA:397;RI:334,high
549300RA3E0BUFO7YZ21,,,,unmatched,14901,7540,0,FL:1457;CA:1424;TX:795;NY:714;NJ:302;GA:259;NC:179;PA:177;AZ:172;TN:151,high
COOWI3L2W9TPYR3WJX37,,,,unmatched,13363,8447,0,TN:2513;LA:1305;FL:1045;TX:905;NC:690;AR:628;GA:426;AL:320;MS:167;MO:110,high
5493002B2WMHY23GFK92,,,,unmatched,15900,11444,0,FL:1201;TX:938;NC:727;AZ:557;MO:535;TN:529;SC:473;OH:451;CA:440;GA:433,high
