lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ky_originations,states_with_originations,priority_match,kentucky_originations
5493006JISETNI0GLE61,,,,unmatched,5427,3693,489,TN:786;OH:706;IN:518;KY:489;TX:312;KS:174;IA:150;NE:149;SD:91;CO:63,high,489
I70W3N0Z6KOX8FYIH023,,,,unmatched,3374,2202,465,OH:1244;KY:465;WV:446;VA:23;MD:7;TN:5;IN:4;DC:4;SC:1;AL:1,medium,465
549300RFLICNI75BG067,,,,unmatched,12136,8416,435,MN:1356;NJ:1069;FL:686;CO:543;IN:517;KY:435;DE:277;WA:265;TX:244;SC:240,high,435
549300AJ6XFK1ACXWQ06,,,,unmatched,729,520,424,KY:424;TN:95;LA:1,medium,424
5493004OB0KD7VERQW98,,,,unmatched,3203,2426,411,TX:1107;KY:411;TN:219;OK:188;IN:175;AL:173;GA:54;LA:47;AR:32;FL:12,high,411
549300RWXUAFD1WAE410,,,,unmatched,16717,13070,389,NC:6049;VA:4244;SC:955;GA:731;KY:389;FL:221;MD:169;AL:134;TN:63;IN:52,high,389
549300R0SXC1JU7ZU290,,,,unmatched,13447,10308,386,TN:2461;OH:1167;MI:696;FL:575;GA:520;VA:503;AL:495;PA:402;KY:386;IN:376,high,386
549300TMWSYX6B5ZOK69,,,,unmatched,399,352,341,KY:341;IN:9;MO:1;WI:1,low,341
54930002HD26G3OGZR79,,,,unmatched,489,358,336,KY:336;TN:9;IL:8;FL:3;MS:2,low,336
549300NB3SBC1KHAWB92,,,,unmatched,5621,4133,328,MO:1690;NE:537;FL:434;IA:427;KY:328;AR:243;IL:195;TN:186;CO:24;KS:17,high,328
549300CVK4UVTLHJ0R80,,,,unmatched,350,295,288,KY:288;TN:2;FL:2;IN:2;OH:1,low,288
254900LKAJBFGO0IIP75,,,,unmatched,2115,1702,285,TX:1171;KY:285;NC:99;OH:81;MA:45;GA:8;NH:6;FL:3;CT:2;ME:1,high,285
549300X8AUU3UC1ULZ79,,,,unmatched,2320,1278,279,TX:304;OH:288;KY:279;TN:107;IN:101;NC:87;VA:65;FL:47,high,279
549300XED7IBK9VVQH70,,,,unmatched,3799,2898,273,DE:1176;TX:273;KY:273;PA:136;NY:114;CO:105;IN:99;VI:84;MD:83;CA:75,high,273
549300XT5WP4TMNXL317,,,,unmatched,427,313,269,KY:269;OH:43;SC:1,low,269
549300PD2JKG2Z95GK78,,,,unmatched,313,264,262,KY:262;LA:1;AL:1,low,262
549300IHBKY3L5OIDT39,,,,unmatched,350,344,253,KY:253;TN:85;FL:3;AL:2;SC:1,medium,253
549300P8KQYPAVPZL931,,,,unmatched,315,251,241,KY:241;TN:3;IN:3;FL:2;IL:1;HI:1,low,241
549300RGUEWNDH44ES51,,,,unmatched,418,269,241,KY:241;OH:24;FL:2;IN:1;TN:1,low,241
5493002UNUIL8WHZAD63,,,,unmatched,366,257,239,KY:239;IN:18,low,239
549300VMX06UV1F7NS76,,,,unmatched,5690,4240,231,MI:955;FL:429;PA:390;GA:343;TX:255;TN:237;KY:231;OK:184;NC:159;WV:155,high,231
549300JCW11CIGH8GJ60,,,,unmatched,282,228,227,KY:227;NC:1,low,227
984500FBG4CPBEI5EH05,,,,unmatched,977,977,216,OH:464;IN:296;KY:216;MI:1,medium,216
5493005JPZ3LXXMB0S24,,,,unmatched,8168,6000,208,FL:2916;SC:805;AL:319;NC:313;TX:270;GA:262;KY:208;AZ:206;CA:130;IN:98,high,208
549300QCJE0X5P8H4Z85,,,,unmatched,290,218,203,KY:203;FL:3;IL:3;VA:3;TN:2;AL:2;NY:1;NC:1,low,203
549300QLZWERAXKGEP54,,,,unmatched,283,204,200,KY:200;TN:2;NC:1;FL:1,low,200
549300Q3RKNDNMSDEE10,,,,unmatched,319,205,196,KY:196;OH:9,low,196
549300SDO5FP7F86HH46,,,,unmatched,291,203,195,KY:195;TN:6;AL:1;IL:1,low,195
549300GSCUJKJINRJ980,,,,unmatched,13152,9934,194,IN:6870;OH:1793;MI:794;KY:194;IL:95;GA:41;FL:36;AL:23;NC:19;SC:13,high,194
549300DUOQ7XXHRKPG35,,,,unmatched,230,195,194,KY:194;SC:1,low,194
549300OBO7DOF2KOP535,,,,unmatched,14403,7185,189,TN:4089;AL:1712;GA:598;MS:248;KY:189;TX:159;FL:75;NC:15;SC:14;LA:11,high,189
549300HFBEONQN2CK447,,,,unmatched,10072,8105,178,OH:5594;IN:1546;PA:550;KY:178;FL:127;CA:14;MI:12;TN:12;NC:10;SC:9,high,178
549300I8GW9QHQO63J05,,,,unmatched,240,184,177,KY:177;OH:6;FL:1,low,177
549300MH5OXXJKWZZY83,,,,unmatched,1511,1006,172,OH:798;KY:172;IN:28;FL:4;SC:2;TN:1;NC:1,medium,172
549300GGXWS23NTTOB96,,,,unmatched,332,244,168,KY:168;IN:75;AL:1,low,168
549300PL8ER6H23P0Z91,,,,unmatched,6554,4443,166,WA:476;IL:470;CA:426;MD:368;TX:302;CO:257;VA:190;FL:180;OR:180;KY:166,high,166
549300ZZME37MXI1EF14,,,,unmatched,9985,7562,166,MO:3201;OH:849;TX:571;MD:440;MI:357;IL:283;AR:269;WA:192;KY:166;ME:116,high,166
54930020VWE4K0ME5605,,,,unmatched,231,166,165,KY:165;FL:1,low,165
549300PH1RMZ3NKH2953,,,,unmatched,325,261,164,KY:164;IN:95;TN:1;NE:1,low,164
5493002RF1ERFA2XR050,,,,unmatched,12133,8976,161,MS:2189;GA:2005;AL:1966;TN:941;SC:545;FL:425;NC:301;LA:187;KY:161;VA:156,high,161
5493007ZN3JNCBPMI730,,,,unmatched,185,166,159,KY:159;TN:4;FL:2;GA:1,low,159
549300LGEXCX325O8C49,,,,unmatched,828,675,156,IN:512;KY:156;AL:4;TN:2;FL:1,medium,156
549300YSLPB4FWL34Z59,,,,unmatched,193,162,156,KY:156;IN:2;TN:1;OH:1;TX:1;NM:1,low,156
254900WQCRCK13A7DC81,,,,unmatched,1416,848,141,TN:702;KY:141;AL:2;GA:2;NC:1,high,141
549300VNBQD8FDHF7563,,,,unmatched,6259,4562,140,TN:3148;MS:341;AL:306;NC:197;AR:161;GA:154;KY:140;SC:59;VA:27;FL:24,high,140
549300VI8UYZW0WTE611,,,,unmatched,248,167,140,KY:140;OH:21;WV:4;TN:1;SC:1,low,140
549300YJQ7L8XG0WT572,,,,unmatched,709,498,139,OH:354;KY:139;IN:5,low,139
549300C88V21IBGP5Y54,,,,unmatched,148,138,137,KY:137;OH:1,low,137
5493001SDQVS1NWYH012,,,,unmatched,1018,888,132,MN:140;KY:132;AZ:117;FL:96;CA:90;NC:83;AL:46;WA:44;TN:34;TX:33,medium,132
54930063578UDYE3JR69,,,,unmatched,1797,1219,131,OH:744;IN:154;KY:131;WV:42;NC:32;PA:29;TN:14;MI:10;FL:9;AR:8,medium,131
549300E0S1LZYZ9QNX81,,,,unmatched,2648,1646,130,IN:987;IL:279;TN:218;KY:130;GA:19;FL:3;AL:3;NJ:1;AZ:1;CO:1,medium,130
549300VNVP1PTYHESA41,,,,unmatched,195,135,129,KY:129;IN:6,low,129
549300OYEKEORA1GI088,,,,unmatched,1899,1460,127,NC:659;OR:133;KY:127;MT:93;TX:92;SC:80;VA:74;TN:27;FL:27;WA:21,high,127
549300PLQ5DT613TXQ48,,,,unmatched,253,198,127,KY:127;TN:71,medium,127
549300T68H0CMTF8ZH83,,,,unmatched,142,123,123,KY:123,low,123
2549005B6S44QVVMBU11,,,,unmatched,188,126,120,KY:120;FL:2;OH:2;SC:1;TN:1,low,120
254900N1AXKYPB987I06,,,,unmatched,129,123,120,KY:120;AR:1;TN:1;FL:1,low,120
5493008MFIR0PTRGGL44,,,,unmatched,132,125,116,KY:116;TN:4;FL:2;AL:2;IN:1,low,116
54930060AO2QGPQGPO07,,,,unmatched,173,130,116,KY:116;IN:10;TN:2;FL:2,low,116
549300H5B5USE8BS1V31,,,,unmatched,140,116,116,KY:116,low,116
549300V9HKOIF4980H71,,,,unmatched,132,119,113,KY:113;IN:4;TX:1;AL:1,low,113
549300ZSNURWJMU0YY46,,,,unmatched,124,109,102,KY:102;TN:5;MS:1;FL:1,low,102
549300OULGV8ZW0JV320,,,,unmatched,120,105,100,KY:100;TN:2;OH:1;FL:1;IN:1,low,100
2549007JQKHU8KQ0FC19,,,,unmatched,3867,3257,97,AR:2197;TN:311;IL:243;OK:217;KY:97;MS:61;LA:33;TX:30;OH:25;AL:20,medium,97
549300GN85R5S1V3SJ96,,,,unmatched,993,659,92,OH:510;KY:92;IN:41;FL:9;SC:3;AZ:1;WV:1;AR:1;CO:1,medium,92
54930077RRQE77TVA474,,,,unmatched,98,91,90,KY:90;IN:1,low,90
5493002G1DPDOKT55X37,,,,unmatched,405,241,88,OH:139;KY:88;WV:14,low,88
549300YFEWUJMPG9CN91,,,,unmatched,107,86,82,KY:82;VA:1;MI:1;FL:1;IN:1,low,82
549300FORCF9PNPUG275,,,,unmatched,121,82,81,KY:81;FL:1,low,81
254900S72Y8VX4GAD318,,,,unmatched,199,150,79,KY:79;TN:68;MO:2;MD:1,medium,79
2549001TX8MBDGWWWF50,,,,unmatched,101,86,78,KY:78;OH:5;IN:1;CO:1;TN:1,low,78
54930021DZJ9CEN11D61,,,,unmatched,2604,1550,77,AL:309;FL:185;GA:184;TN:124;OH:99;NV:96;KY:77;MI:58;IN:48;NJ:39,high,77
254900YPMNKIA6O0HC78,,,,unmatched,908,612,77,IN:528;KY:77;IL:6;FL:1,medium,77
549300L1U2HOTC8O4K95,,,,unmatched,149,98,77,KY:77;WV:10;OH:9;FL:2,low,77
549300SUOO1RFWRM7N78,,,,unmatched,95,76,76,KY:76,low,76
549300CGYC6O4770DL96,,,,unmatched,161,92,73,KY:73;OH:14;WV:5,low,73
549300XQ8DRJT0OETE90,,,,unmatched,299,255,70,TN:168;KY:70;NC:11;VA:4;FL:1;KS:1,medium,70
549300CUUEEQ66ZVK149,,,,unmatched,3061,1993,70,MO:667;IL:464;KS:153;OH:119;IN:111;WI:90;KY:70;TN:61;GA:56;IA:54,medium,70
549300RM1IZYGQDSNL85,,,,unmatched,6074,1623,69,FL:206;TX:167;TN:152;CO:123;KY:69;NC:60;OH:60;NY:56;MI:52;ID:52,high,69
549300MIICHJBUDK6R97,,,,unmatched,90,70,68,KY:68;IN:2,low,68
549300OCBGBM6IS0J130,,,,unmatched,115,70,67,KY:67;IN:3,low,67
2549002H3CEW0748X068,,,,unmatched,102,67,67,KY:67,low,67
5493005E0SAPZ1LKU504,,,,unmatched,1041,945,64,IN:876;KY:64;FL:5,medium,64
5493005G8JO0PPI0HN36,,,,unmatched,182,141,61,FL:71;KY:61;IN:9,medium,61
549300TDH15867LXRK58,,,,unmatched,121,98,60,KY:60;IN:37;FL:1,low,60
549300IX6RAX31C1BI75,,,,unmatched,1252,247,57,IN:66;KY:57;MI:20;NC:19;OH:19;FL:17;VA:16;GA:10;MD:8;IA:8,low,57
254900DNIQ7KXCPZFR45,,,,unmatched,65,56,56,KY:56,low,56
549300CEHN5CVC6INV48,,,,unmatched,5314,3696,55,OH:3251;SC:235;NC:119;KY:55;FL:12;IN:9;TN:3;GA:3;WV:2;MD:2,medium,55
5493008P6YO2KM3EO556,,,,unmatched,5493,4084,54,MI:2600;NY:372;CA:172;VA:153;MD:117;FL:81;CT:70;MA:55;KY:54;IN:52,high,54
549300GXRG31CBWWTR70,,,,unmatched,67,57,54,KY:54;IN:3,low,54
5493005NU5BA00C1N451,,,,unmatched,1383,1034,53,MI:624;TN:209;VA:76;KY:53;FL:30;IL:15;SC:6;GA:5;NC:5;IN:2,medium,53
549300MEMKSF7703ZQ25,,,,unmatched,215,190,53,IL:137;KY:53,low,53
5493002QRULT2T40BH09,,,,unmatched,10720,6817,52,MO:3721;KS:2521;CA:186;AR:57;KY:52;TX:51;FL:30;NV:17;MI:16;IL:14,high,52
549300CDOC4F7XSRG390,,,,unmatched,8293,5548,51,TN:2808;NC:1222;SC:417;VA:248;AL:224;GA:200;FL:107;MD:82;KY:51;MS:51,high,51
2549001XVX1R2ITF6935,,,,unmatched,252,173,50,TN:114;KY:50;VA:5;GA:1;AL:1;FL:1;IN:1,medium,50
25490014T1E9ZF0ODZ87,,,,unmatched,121,84,50,KY:50;TN:27;IN:2;OH:2;UT:1;SC:1;AL:1,low,50
549300PJ2WT35S77Q208,,,,unmatched,2564,1526,45,IL:307;WI:186;OH:145;FL:106;PA:65;MI:64;TX:62;MO:56;IN:51;KY:45,medium,45
549300VW06LULRDNSW49,,,,unmatched,112,94,45,OH:47;KY:45;TN:1;NC:1,low,45
54930008MKP7T81OVK54,,,,unmatched,296,257,44,IN:168;KY:44;GA:34;IL:9;FL:1;SC:1,low,44
549300BS91G2Y1TKFS35,,,,unmatched,44,43,43,KY:43,low,43
549300PEWJWBNEOSS013,,,,unmatched,1864,1297,40,OH:324;FL:163;MD:138;OR:96;NJ:71;NC:62;IN:45;VA:42;KY:40;DE:39,medium,40
549300DNWSJUNAWUM003,,,,unmatched,2522,1388,39,NC:247;VA:226;MD:209;PA:92;SC:63;NY:60;FL:57;IL:56;KY:39;DC:34,high,39
UBNR8NKAK8J9JL4NZF88,,,,unmatched,1876,1380,37,OH:1023;IN:287;KY:37;MI:21;NC:3;FL:2;IL:1;MN:1;UT:1;NE:1,medium,37
54930035PML8BGK0PX59,,,,unmatched,37,37,37,KY:37,low,37
549300AENO88GEUWCZ39,,,,unmatched,1280,846,36,MN:142;IN:65;CO:58;FL:56;CA:52;OK:39;KY:36;TX:34;DE:27;WI:26,medium,36
5493007LUU2DLS755O60,,,,unmatched,3115,2292,36,IN:2206;KY:36;NY:22;FL:8;PA:6;NC:4;AL:2;MI:2;IA:2;WI:1,medium,36
549300N1YEXP02MHBR47,,,,unmatched,8964,5317,35,OH:5207;KY:35;IN:21;TN:17;FL:9;MI:7;GA:4;TX:4;IL:2;SC:2,high,35
549300H8JJI69WD7I525,,,,unmatched,2156,1643,35,OH:1250;IN:294;KY:35;MI:29;FL:13;PA:7;SC:4;AZ:2;NC:2;TN:2,medium,35
549300QHPJ9CLOLCVE82,,,,unmatched,577,352,34,OH:302;KY:34;VA:5;IN:4;MD:1;AR:1;AL:1;NC:1;FL:1;TN:1,low,34
5493007ZG5EVEXW01J70,,,,unmatched,48,43,34,KY:34;IN:9,low,34
549300J2D35S72FE4K21,,,,unmatched,50,33,33,KY:33,low,33
54930023BNS4HPJ4WJ61,,,,unmatched,35,32,30,KY:30;IN:2,low,30
549300L1DBFIJZI8LA40,,,,unmatched,2059,1503,28,GA:632;SC:365;AL:134;TN:124;MS:86;FL:67;NC:62;KY:28;AR:2;VA:2,high,28
5493000V86JDJLM0OV13,,,,unmatched,690,690,28,AL:137;TX:116;MS:85;FL:76;GA:55;LA:52;OK:36;SC:30;TN:29;KY:28,medium,28
549300Q55VW95EP3CM33,,,,unmatched,648,523,28,OH:475;KY:28;IN:12;TN:3;FL:2;CO:1;GA:1;SC:1,medium,28
5493000FE7FNF0BV8N77,,,,unmatched,533,434,28,OH:401;KY:28;IN:5,low,28
549300V1L2AOAAI26J57,,,,unmatched,34,28,27,KY:27;IN:1,low,27
549300ZUA8339ZH6W934,,,,unmatched,126,45,26,KY:26;MN:5;WV:4;OH:3;TN:2;GA:2;KS:1;FL:1;NC:1,low,26
5493001UYBOONMFYPR30,,,,unmatched,1484,1218,25,TN:1171;KY:25;TX:6;FL:5;AL:5;NC:4;SC:1;GA:1,high,25
5493006HFDG31YJ3MM36,,,,unmatched,483,253,25,OH:119;KY:25;IN:24;MI:14;CA:14;VA:13;FL:8;LA:7;WV:6;IL:5,low,25
549300N4V3ZDLXURNC25,,,,unmatched,59,47,25,KY:25;TN:22,low,25
25490039D55J3ZL21O72,,,,unmatched,408,263,25,OH:234;KY:25;IN:4,low,25
254900ARL5FDX2OOH702,,,,unmatched,3225,2256,24,OH:2178;IN:30;KY:24;FL:8;MI:6;TX:2;TN:2;NY:1;CO:1;NC:1,medium,24
54930065TMWOWFAXBL88,,,,unmatched,541,379,23,OH:352;KY:23;WV:2;IN:1;TN:1,low,23
5493004NO7XCFVG4KD53,,,,unmatched,1686,988,22,TN:965;KY:22;FL:1,high,22
549300Y4BSP3BSFW7J29,,,,unmatched,6114,3188,21,GA:2867;FL:74;SC:28;AL:28;TX:27;UT:23;NC:22;KY:21;TN:20;CA:19,high,21
54930077D8KXQADF5Q23,,,,unmatched,5859,4603,20,IN:3231;MI:559;OH:423;TN:262;VA:46;FL:36;KY:20;IL:13;NC:3;CO:2,medium,20
549300NGCDNC9174EF79,,,,unmatched,418,213,20,IL:81;IN:33;MO:30;UT:26;KY:20;AZ:15;TN:3;WA:2;FL:1;OH:1,low,20
549300A0SVCQJPHVGV20,,,,unmatched,3591,2835,19,WI:1466;MN:599;TX:361;TN:309;KY:19;FL:16;NJ:13;IA:13;GA:7;CO:5,high,19
549300LUF8JLB9HKT321,,,,unmatched,405,284,19,OH:231;KY:19;TN:6;FL:6;IN:5;SC:3;MS:2;AL:2;AZ:2;NC:2,low,19
VN1JLT1F3FLLVN3FZG89,,,,unmatched,7547,4663,18,PA:3223;OH:1386;KY:18;FL:12;IN:5;NC:3;WV:3;MN:2;IL:2;GA:2,high,18
MMO6VV34TNP4Z1T8NG83,,,,unmatched,396,321,18,NC:109;GA:68;SC:64;FL:34;KY:18;VA:15;TX:8;WV:2;NY:1;PA:1,medium,18
549300RFPLMCMJL7BS81,,,,unmatched,268,246,18,OH:48;KY:18;NC:17;GA:15;MN:14;CA:14;MI:14;IN:12;TX:10;AL:8,medium,18
549300G8SAGXEDF5FK39,,,,unmatched,249,172,18,LA:127;KY:18;TX:12;WV:10;MS:2;SC:1;GA:1;KS:1,low,18
549300ZIXM1VUXPG4D03,,,,unmatched,1269,891,17,TX:329;MN:145;FL:102;CA:88;ND:30;PA:28;IL:27;OH:17;KY:17;AL:13,high,17
549300R0L43GUZ8EW811,,,,unmatched,549,427,16,TN:364;AL:23;KY:16;FL:5;GA:5;WV:4;MS:2;NC:2;OH:1;AR:1,medium,16
549300S99IK3EU11AS13,,,,unmatched,3520,2406,16,IN:2387;KY:16;FL:2;GA:1,medium,16
254900KPOZQ8VODWDS72,,,,unmatched,35,22,15,KY:15;TN:7,low,15
254900Q9V3DYHBRTUH61,,,,unmatched,424,301,15,OH:277;KY:15;NC:3;MI:2;IN:2;TN:1;FL:1,low,15
549300C4CKL0HRXJ3085,,,,unmatched,425,342,14,TN:327;KY:14;AL:1,medium,14
54930032OCUOR526IR93,,,,unmatched,566,374,14,MS:123;GA:24;PA:21;FL:18;KY:14;AZ:13;KS:12;MO:10;TN:10;NC:9,medium,14
254900UD8AEXTVCVAF72,,,,unmatched,306,202,14,MO:29;MD:28;OH:21;IN:18;IL:16;VA:14;KY:14;IA:10;AL:9;TN:8,low,14
549300KJKBXR3PD3QQ56,,,,unmatched,1332,948,13,OH:748;NC:54;IN:52;SC:31;PA:27;GA:14;KY:13;FL:6;DE:2;NJ:1,medium,13
549300OS8C7J7ZWMNL70,,,,unmatched,755,512,13,VA:238;WV:183;MD:62;KY:13;DE:6;TN:3;NC:2;DC:2;PA:1;OH:1,medium,13
549300XFPZ54Y2QPYR56,,,,unmatched,2778,2020,12,FL:1129;OH:338;PA:309;WV:127;GA:41;AL:36;VA:27;KY:12;IN:1,high,12
549300QBX5R3ZBD8FR12,,,,unmatched,592,466,11,OH:182;NC:109;SC:79;PA:27;IN:15;LA:15;KY:11;TN:8;WV:6;MI:5,medium,11
5493002FQ43Q3BNXZW27,,,,unmatched,144,132,11,TN:121;KY:11,medium,11
5493009KQ3D6Q5VM0B61,,,,unmatched,581,89,11,FL:61;KY:11;GA:10;NC:5;VA:1;AL:1,medium,11
254900YSYHBYDFRVT153,,,,unmatched,536,378,11,OH:367;KY:11,low,11
549300CZVVHZY16D5T08,,,,unmatched,129,129,11,OH:109;KY:11;IN:9,low,11
549300DDLYW49R2HCV81,,,,unmatched,6548,4027,10,TN:2854;VA:626;TX:392;NC:37;GA:21;SC:17;FL:13;KY:10;AR:7;AL:6,high,10
54930020YWIK7HGH2R34,,,,unmatched,4883,3374,10,TX:2983;MN:100;TN:79;LA:73;NC:38;FL:32;AZ:29;KY:10;GA:9;AR:8,high,10
549300W4TWSN8U8TGD72,,,,unmatched,630,615,9,TN:603;KY:9;FL:2;AL:1,high,9
549300YRN588YD6VNJ18,,,,unmatched,676,524,9,TN:513;KY:9;FL:2,high,9
54930022CQGV47Q8PM03,,,,unmatched,602,233,9,TX:22;FL:18;CA:18;WA:16;GA:15;WI:13;MI:12;IL:12;OH:10;KY:9,medium,9
549300ZGCIDP1G72QO72,,,,unmatched,367,187,9,OH:132;KY:9;IN:9;MI:7;FL:6;CA:5;GA:4;PA:2;CO:2;NC:2,low,9
549300RP3DLR09NF6157,,,,unmatched,698,537,8,TN:501;KY:8;SC:5;GA:5;AL:4;OH:2;FL:2;TX:2;MS:2;AR:2,high,8
549300FB7LY738B0AS28,,,,unmatched,213,147,8,OH:128;KY:8;IN:5;FL:2;GA:1;TN:1;SC:1;NC:1,low,8
549300Q16CNQMW0O1O02,,,,unmatched,120,103,8,IN:95;KY:8,low,8
254900FJRICL380R4T46,,,,unmatched,2355,1565,7,TN:1505;MS:30;AR:9;KY:7;AL:3;FL:3;TX:2;MO:1;GA:1;OH:1,high,7
549300DPRWSBUY619V27,,,,unmatched,4871,3125,7,AR:986;TN:773;TX:559;MO:461;OK:237;KS:56;MS:18;KY:7;IL:4;GA:4,high,7
549300BG5GYUSWMP2R94,,,,unmatched,57,47,7,TN:40;KY:7,low,7
549300JQGT4VX22XJ495,,,,unmatched,369,328,7,OH:209;WV:105;KY:7;FL:3;SC:2;VA:1;NC:1,low,7
549300JGK6WNKYXQ0821,,,,unmatched,1587,441,6,GA:324;NC:18;AL:17;FL:14;AR:9;SC:6;TN:6;KY:6;PA:4;OK:4,medium,6
254900803AYZRNV49618,,,,unmatched,282,210,6,IN:200;KY:6;OH:3;MI:1,low,6
