lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,al_originations,states_with_originations,priority_match
254900TM81D0YC1B9584,,,,unmatched,1400,1247,22,NY:576;PA:215;GA:204;NJ:60;FL:35;CT:31;TX:29;AL:22;VA:21;NC:14,high
549300JQEF6V2RNWCC75,,,,unmatched,1242,794,22,AR:524;MS:155;TN:60;AL:22;GA:12;TX:6;FL:3;LA:3;VA:2;OH:2,medium
254900AHLSHUJOTJG402,,,,unmatched,1417,1111,21,GA:917;FL:112;SC:51;AL:21;TN:6;NC:2;MS:1;AZ:1,high
5493000CHQ0HEHGLJ573,,,,unmatched,988,590,20,GA:544;AL:20;SC:17;FL:4;NC:3;TN:2,high
2549007JQKHU8KQ0FC19,,,,unmatched,3867,3257,20,AR:2197;TN:311;IL:243;OK:217;KY:97;MS:61;LA:33;TX:30;OH:25;AL:20,medium
549300V8CF81JGIV7038,,,,unmatched,2169,1796,19,IL:1185;IA:235;TN:104;FL:46;IN:38;MI:33;WI:29;AL:19;AZ:16;TX:15,medium
549300LE3ZOZXUS7W648,,,,unmatched,2420,1634,18,LA:1369;MS:146;FL:59;TX:22;AL:18;GA:4;CA:3;AR:3;VA:2;SC:2,medium
549300JGK6WNKYXQ0821,,,,unmatched,1587,441,17,GA:324;NC:18;AL:17;FL:14;AR:9;SC:6;TN:6;KY:6;PA:4;OK:4,medium
254900HIDMT4ZG09RP47,,,,unmatched,379,273,17,MD:33;TX:26;GA:24;FL:23;NC:20;AL:17;IL:16;OK:15;IN:15;TN:13,medium
5493007669OVCSCATP45,,,,unmatched,2493,1392,16,TN:1012;GA:346;AL:16;FL:5;SC:2;KY:2;MO:1;MS:1;KS:1;IN:1,high
2549008W3O3PXWF90U35,,,,unmatched,18,15,15,AL:15,low
2549004EXIAAMK5CLH54,,,,unmatched,765,462,14,FL:327;GA:119;AL:14;NC:2,medium
549300GY4NTTEM7WWB64,,,,unmatched,816,529,14,AR:175;FL:79;GA:41;MS:38;NC:35;TX:28;PA:21;TN:20;VA:20;AL:14,medium
549300JGMQJ4R419LR70,,,,unmatched,516,402,14,TX:45;CA:44;OH:29;IL:28;FL:19;PA:18;WA:15;NY:15;AL:14;MI:13,medium
549300BBKMRS6J0CB539,,,,unmatched,4005,2955,13,TX:2153;IL:171;VA:119;IN:117;FL:102;OK:88;MO:56;NV:25;AZ:14;AL:13,high
549300ZIXM1VUXPG4D03,,,,unmatched,1269,891,13,TX:329;MN:145;FL:102;CA:88;ND:30;PA:28;IL:27;OH:17;KY:17;AL:13,high
549300ZPJVCRRFETOG85,,,,unmatched,1414,751,12,TX:525;NM:156;MS:36;FL:12;AL:12;MI:4;LA:4;CO:1;GA:1,high
549300LIZH7VW4DFJK44,,,,unmatched,421,161,12,OK:118;AL:12;TX:6;AR:4;NM:3;NE:3;OR:2;LA:2;CO:2;FL:1,low
549300C20KZIWPASBC15,,,,unmatched,451,345,11,TX:201;GA:111;WA:14;AL:11;CO:4;SC:2;AZ:1;TN:1,medium
5493008RSN6F31BTGT93,,,,unmatched,2298,1587,11,LA:1409;TX:53;FL:48;MS:40;AL:11;GA:3;NC:3;SC:3;OR:2;MO:2,medium
549300ZN5MIVRMVHJS09,,,,unmatched,2547,2057,10,GA:1932;SC:41;FL:31;TN:30;AL:10;NC:8;CO:1;MS:1;TX:1;LA:1,high
549300ZGTXNHL5BKQZ27,,,,unmatched,2561,1842,10,TX:1708;NM:37;TN:32;MS:18;AL:10;CA:8;FL:6;GA:4;NC:4;AR:4,high
254900CRPFBFJUTD8P12,,,,unmatched,188,163,10,MS:150;AL:10;TX:2;SC:1,low
254900Z5MXY02EYXAM91,,,,unmatched,11,10,10,AL:10,low
