lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,de_originations,states_with_originations,priority_match
54930060KLIQD8MMSB55,,,,unmatched,1468,1063,9,PA:880;MD:162;DE:9;VA:3;FL:3;NJ:2;NY:1;DC:1;SC:1;OH:1,high
549300IRXW9RSZM2B951,,,,unmatched,667,477,9,TN:173;AR:141;MA:29;MS:27;NY:22;MO:13;OK:11;TX:10;DE:9;CT:8,medium
549300RMEQJVNY2YH756,,,,unmatched,215,212,9,PA:179;NJ:20;DE:9;MD:2;FL:1;AZ:1,medium
254900L0MIAM922ZEC34,,,,unmatched,1357,885,8,PA:773;NJ:82;FL:14;DE:8;VA:1;NC:1;AL:1;SC:1;AZ:1;OH:1,high
254900ZELVKWROFNEC29,,,,unmatched,643,408,8,PA:297;NJ:53;GA:11;FL:11;DE:8;NC:6;CO:3;MN:2;MA:2;MD:2,medium
5493000GQ5D5YW5QID32,,,,unmatched,1740,1427,7,PA:1400;NJ:14;DE:7;FL:5;SC:1,high
2549007G9V4FYWWWDZ31,,,,unmatched,1019,778,7,NJ:334;PA:199;FL:96;VA:34;GA:26;MD:23;TX:21;IN:17;NC:12;DE:7,high
549300I8I7EBXHMYYW54,,,,unmatched,448,314,7,PA:300;DE:7;NJ:4;MD:2;CA:1,medium
5493002G4JO4BZ22MC13,,,,unmatched,213,129,7,PA:17;MD:16;TN:11;CA:10;TX:10;GA:9;NC:8;VA:8;NJ:8;DE:7,medium
5493000UZ37PYF2QMT96,,,,unmatched,401,348,7,MD:317;PA:24;DE:7,low
549300LWL6LDRPYWVK06,,,,unmatched,112,88,7,MD:75;DE:7;VA:3;FL:2;DC:1,low
2549008X67CV1MNM7747,,,,unmatched,2234,1270,6,NY:744;FL:235;CT:107;NJ:85;PA:27;NC:12;GA:12;SC:10;AZ:8;DE:6,high
549300OS8C7J7ZWMNL70,,,,unmatched,755,512,6,VA:238;WV:183;MD:62;KY:13;DE:6;TN:3;NC:2;DC:2;PA:1;OH:1,medium
6UHRKD73G36IZYN3FC43,,,,unmatched,393,328,5,PA:231;NY:63;NJ:11;DE:5;CA:4;FL:4;SC:2;IL:2;MT:1;NC:1,medium
549300VGZHXNY2T0G559,,,,unmatched,666,513,5,OH:378;PA:83;MI:24;NJ:11;DE:5;FL:5;VA:1;CO:1;SC:1;ME:1,medium
549300F2GDWKJH3GMB47,,,,unmatched,1483,686,5,MD:608;VA:42;DC:7;DE:5;WV:5;SC:4;PA:4;NJ:2;NC:2;IN:1,medium
549300S93XI20FLTGK89,,,,unmatched,104,87,5,VA:28;MD:12;NC:12;FL:8;PA:7;GA:7;DE:5;TX:3;SC:2;DC:1,low
5493002CAA1SKNHHUI24,,,,unmatched,361,175,5,IL:125;AZ:12;MI:10;NY:7;PA:5;DE:5;NJ:4;FL:2;ID:1;IN:1,low
549300SWKVL60SKWK981,,,,unmatched,11081,6476,4,PA:6367;MD:56;NJ:18;SC:5;NC:5;FL:5;DE:4;VA:4;WV:4;GA:1,high
MCXHCL35UUWDZK7NCQ61,,,,unmatched,4091,2616,4,PA:2442;OH:133;NJ:15;MD:6;FL:6;DE:4;SC:2;GA:2;WV:2;MA:1,high
549300LBK5BTNFKZJD14,,,,unmatched,2312,1647,4,PA:1531;NJ:66;MD:18;FL:13;SC:6;DE:4;NC:3;NY:2;GA:1;OH:1,high
5493005CFFMKTUKLO381,,,,unmatched,1760,1346,4,PA:1188;MD:131;WV:10;DE:4;VA:4;NJ:3;FL:3;UT:1;AR:1;SC:1,high
