lei,florida_originations,total_originations,gleif_name,priority_match,states_with_originations,review_status
ZXMJHJK466PBZTM5F379,298,1048,,high,FL:298;TX:142;CA:122;NC:99;NY:75;TN:69;GA:58;SC:54,needs_manual_review
984500D61DCEC4E2B661,297,356,,high,FL:297;NC:13;GA:13;MA:12;TX:10;NJ:4;SC:3;TN:2,needs_manual_review
254900EL5N0NK8M96118,296,296,,high,FL:296,needs_manual_review
549300W6K140RN8NQB93,295,295,,high,FL:295,needs_manual_review
549300EOHSB7M6IFW844,294,336,,high,FL:294;SC:35;NC:4;TX:1;GA:1;TN:1,needs_manual_review
254900T576VYG7I55390,294,296,,high,FL:294;TN:1;GA:1,needs_manual_review
549300QR0KFPEDZPEI42,289,1812,,high,TN:703;GA:442;FL:289;PA:270;NC:48;SC:43;TX:16;CA:1,needs_manual_review
549300VQUTI5IU7GXT57,286,2100,,high,TX:1288;FL:286;GA:253;CA:127;TN:43;NC:33;SC:32;PA:21,needs_manual_review
549300WWJ28EP3GZG107,286,286,,high,FL:286,needs_manual_review
3Y4U8VZURTYWI1W2K376,285,4278,,high,CA:3818;FL:285;TX:35;NY:26;TN:25;SC:18;NC:17;NJ:16,needs_manual_review
254900QNIR86GUIRYH95,284,2744,,high,CA:1861;TX:290;FL:284;NC:89;GA:80;NJ:36;PA:29;TN:26,needs_manual_review
5493004RLLKTQS8K7U51,282,1428,,high,TX:639;FL:282;NC:127;NY:78;CA:78;NJ:51;MA:42;SC:42,needs_manual_review
54930091JQKCU3Z6IP44,276,1402,,high,GA:284;FL:276;TX:151;NC:128;NY:123;PA:118;TN:101;NJ:100,needs_manual_review
549300NWBS6MQJX15N44,275,3672,,high,CA:1262;TX:1171;GA:488;FL:275;PA:169;TN:103;NC:91;MA:47,needs_manual_review
549300ALNLUNS3Y53T24,274,1905,,high,GA:491;TX:304;FL:274;NC:168;CA:163;PA:147;TN:111;SC:84,needs_manual_review
254900FBWEZ3YUPOBN33,269,1298,,high,FL:269;NC:262;SC:137;GA:131;TN:130;TX:120;PA:108;NJ:60,needs_manual_review
549300QKL5FUBZ8LSF50,268,2681,,high,CA:840;PA:570;MA:314;FL:268;NJ:191;TX:184;GA:149;SC:88,needs_manual_review
L9VVX1KT5TFTKS0MLF66,266,13127,,high,NC:6984;SC:3577;CA:1383;GA:442;FL:266;MA:197;TN:106;TX:92,needs_manual_review
CKVBED0S4DMLKJJ5XH28,265,1547,,high,CA:364;FL:265;TX:142;NY:138;NC:122;NJ:119;GA:115;TN:91,needs_manual_review
549300LROQOOQU77WS20,263,2765,,high,CA:537;TX:435;NC:318;GA:291;FL:263;NJ:234;PA:186;TN:172,needs_manual_review
549300W45D2J6BT4LX65,260,1054,,high,FL:260;CA:195;TX:184;NJ:175;GA:65;NC:63;SC:46;PA:29,needs_manual_review
5493004KSBZEBHIMRT79,255,264,,high,FL:255;NC:9,needs_manual_review
C398JSK21YCXWM603F55,252,1598,,high,CA:371;FL:252;NY:179;TX:179;NC:174;GA:138;PA:96;SC:79,needs_manual_review
5493005QK4NV0ZZ5EM64,251,324,,high,FL:251;TN:68;GA:3;NC:2,needs_manual_review
XC7Z0BA39TU7L1AKOJ12,246,292,,high,FL:246;CA:16;GA:10;TN:6;SC:6;NC:4;NJ:2;PA:1,needs_manual_review
549300C8GOC4OYUV0Z32,244,1165,,high,FL:244;TX:183;PA:140;GA:128;NC:127;NY:90;TN:67;NJ:63,needs_manual_review
549300NN0PRX3I4QGG46,244,650,,high,FL:244;NC:138;GA:108;TX:89;SC:36;PA:17;TN:17;CA:1,needs_manual_review
549300IWE0Y507LPF493,244,252,,high,FL:244;CA:7;TX:1,needs_manual_review
254900YB9XQDO5W4KU33,244,244,,high,FL:244,needs_manual_review
549300H3F1P2EQW0FC36,243,250,,high,FL:243;NC:6;TN:1,needs_manual_review
549300RYTR2RVL4SFJ90,241,1187,,high,TX:242;FL:241;NC:142;NJ:131;GA:121;PA:72;CA:65;TN:59,needs_manual_review
549300BAZS5RZ8O98A51,240,240,,high,FL:240,needs_manual_review
5493004LAP3ULXM1YB66,238,238,,high,FL:238,needs_manual_review
549300T7HRS5DVBUPQ06,235,1839,,high,GA:1234;FL:235;NC:142;SC:55;PA:42;CA:41;NJ:33;TX:32,needs_manual_review
2549008X67CV1MNM7747,235,1137,,high,NY:744;FL:235;NJ:85;PA:27;NC:12;GA:12;SC:10;TX:5,needs_manual_review
