lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ia_originations,states_with_originations,priority_match,iowa_originations
549300INKSPQCTELMO58,,,,unmatched,3309,2598,55,MN:1395;SD:229;TX:149;ND:136;WI:119;AZ:105;FL:79;CO:72;IA:55;AL:46,medium,55
VNOO6EITDJ2YUEBMSZ83,,,,unmatched,4454,2686,55,MO:808;KS:496;CO:407;AZ:328;IL:104;TX:102;NM:97;WI:83;IA:55;CA:52,medium,55
549300CUUEEQ66ZVK149,,,,unmatched,3061,1993,54,MO:667;IL:464;KS:153;OH:119;IN:111;WI:90;KY:70;TN:61;GA:56;IA:54,medium,54
254900ORL3AOAHZ46F19,,,,unmatched,55,54,54,IA:54,low,54
5493003SVUBV3VW5CT40,,,,unmatched,104,86,52,IA:52;MN:24;FL:3;AZ:2;WI:2;CA:1;IL:1;NC:1,low,52
549300VI416LTAV9J614,,,,unmatched,52,50,50,IA:50,low,50
5493006D5TDDSA5NA741,,,,unmatched,68,49,49,IA:49,low,49
549300JRDGV1559XM376,,,,unmatched,1517,904,48,NE:217;AZ:92;ID:85;TX:59;TN:59;CO:55;IL:53;IA:48;UT:47;CA:45,medium,48
549300W7PVYUJHBKTH05,,,,unmatched,52,49,48,IA:48;MO:1,low,48
254900FW2KC6CZHVQW30,,,,unmatched,60,48,48,IA:48,low,48
549300DRA4BDXW23LD45,,,,unmatched,2210,1609,47,MN:624;WI:301;IL:93;MT:72;IN:54;IA:47;NE:45;OH:42;OK:40;SD:29,medium,47
5493005DFXO7V7YOKJ57,,,,unmatched,64,49,47,IA:47;MO:2,low,47
549300UF3FPC7U6RFC59,,,,unmatched,10804,7285,46,MO:4768;CO:733;OK:544;KS:353;NC:269;AR:104;FL:91;IL:68;IA:46;TX:35,high,46
549300J99UM25CTWNN58,,,,unmatched,65,46,46,IA:46,low,46
5493009PLGT79KQ6HO15,,,,unmatched,651,566,45,NE:492;IA:45;AZ:4;FL:3;MO:3;TX:3;CO:3;VA:2;MN:2;OK:1,medium,45
25490024BC19WWC88469,,,,unmatched,48,45,45,IA:45,low,45
254900B7HAQFC56M2N14,,,,unmatched,45,45,45,IA:45,low,45
5493002VU8UKLJWSXG84,,,,unmatched,46,45,45,IA:45,low,45
254900YN9PO8IN8BND47,,,,unmatched,57,47,44,IA:44;MO:2;FL:1,low,44
5493002L7I6EYKW3NG91,,,,unmatched,274,201,44,IL:157;IA:44,low,44
254900I4Q994MFILTR26,,,,unmatched,49,45,44,IA:44;AL:1,low,44
254900OZCVAL2OC4DT59,,,,unmatched,56,43,43,IA:43,low,43
54930015EUQKUCIRBQ14,,,,unmatched,1164,677,42,NE:633;IA:42;MN:2,medium,42
549300C4J510S9L1RF98,,,,unmatched,2560,2118,41,MN:1505;ND:235;AZ:148;WI:119;IA:41;FL:11;CO:11;CA:10;TX:6;GA:3,medium,41
549300ZDBO5YOE6XVB14,,,,unmatched,57,52,41,IA:41;NE:7;MO:2;KS:1;NC:1,low,41
549300181OTPC1TU7Q22,,,,unmatched,47,43,41,IA:41;MO:2,low,41
549300R3EV7MGYLQ4776,,,,unmatched,45,41,40,IA:40;FL:1,low,40
549300MJGHTLBSL8LJ59,,,,unmatched,224,189,39,NE:147;IA:39;SD:1;MO:1;FL:1,low,39
254900SKRYMF38M2P535,,,,unmatched,54,40,39,IA:39;NJ:1,low,39
254900WRTMJD6GMNS670,,,,unmatched,48,38,38,IA:38,low,38
549300PU6VF7RGG5TI18,,,,unmatched,39,38,38,IA:38,low,38
254900RZHOIGZ93T3S32,,,,unmatched,38,36,36,IA:36,low,36
254900YUF5NHPY7YH136,,,,unmatched,36,36,36,IA:36,low,36
549300S0KDM58LZT5C96,,,,unmatched,89,78,35,SD:38;IA:35;MN:2;FL:1;WI:1;NE:1,low,35
549300YXOCZOXWKDIT11,,,,unmatched,607,524,34,MO:483;IA:34;AR:3;CO:1;KY:1;WI:1;KS:1,medium,34
254900A0ZXGBI45YZX94,,,,unmatched,41,36,34,IA:34;SD:2,low,34
254900JBS4I4F2PTVN03,,,,unmatched,35,34,34,IA:34,low,34
25490034470BYC1MSE16,,,,unmatched,98,88,33,SD:55;IA:33,low,33
254900XW0LQQA1I2P960,,,,unmatched,49,33,32,IA:32;NE:1,low,32
549300MOZY61MOJWXJ70,,,,unmatched,38,32,32,IA:32,low,32
5493000XYE7QL54NMB52,,,,unmatched,1908,1433,31,IL:1286;MO:85;IA:31;FL:13;IN:6;CO:2;KS:2;OH:1;MI:1;AZ:1,medium,31
549300PZ44DNQDPOV865,,,,unmatched,3739,3183,31,NE:2875;MO:175;KS:68;IA:31;AZ:11;SD:5;FL:4;MN:3;AR:2;CO:2,medium,31
894500HRLC4E0APLYS82,,,,unmatched,37,33,31,IA:31;FL:1;SD:1,low,31
549300C1FRYGOIEXG035,,,,unmatched,55,37,30,IA:30;WI:5;MN:1;IL:1,low,30
549300XZ04HOB5HTR562,,,,unmatched,160,90,29,NE:57;IA:29;MO:2;KS:2,low,29
549300KUIZTYQRC0R888,,,,unmatched,376,232,27,MN:97;IA:27;TX:12;SD:10;FL:9;NY:6;AZ:6;GA:5;WI:4;PA:4,medium,27
549300QJ1W5RNY1X4D75,,,,unmatched,39,32,27,IA:27;FL:2;CA:1;MO:1;WI:1,low,27
5493008LMXP14HBMBK78,,,,unmatched,31,30,27,IA:27;NE:2;MO:1,low,27
549300FVMNIRTHZI8Z30,,,,unmatched,30,27,27,IA:27,low,27
2549008VBYJ5IEXJDR42,,,,unmatched,30,27,26,IA:26;FL:1,low,26
89Z2WRK82BORVH42CP71,,,,unmatched,43,34,26,IA:26;MN:8,low,26
254900LW5BPW0G1LMW49,,,,unmatched,707,609,25,NE:285;KS:139;MN:102;WI:31;OK:27;IA:25,medium,25
549300746Y6FYNYAGB59,,,,unmatched,25,25,24,IA:24;FL:1,low,24
254900826Z45GD791J96,,,,unmatched,25,24,24,IA:24,low,24
549300USNPUCH96WTF23,,,,unmatched,179,143,23,MN:115;IA:23;SD:5,low,23
R6KJ2D7C3UT8OVTWHS39,,,,unmatched,1996,1487,19,NE:1373;KS:35;IA:19;MO:18;CO:13;AZ:6;MN:3;TX:3;SD:3;IN:2,medium,19
EFBDHEMMHTWI378O4988,,,,unmatched,1301,918,19,IL:881;IA:19;FL:4;WI:4;KY:2;CO:2;MO:2;MI:1;OH:1;NY:1,medium,19
2549008TF4FG4ON44F19,,,,unmatched,30,23,19,IA:19;NE:4,low,19
549300Z77WUYJM3QG591,,,,unmatched,1511,977,18,SD:942;IA:18;MN:12;AZ:3;NE:2,medium,18
549300Y01XP7FO81MC08,,,,unmatched,552,456,17,NE:408;IA:17;CO:5;FL:3;VA:2;TN:2;TX:2;GA:2;MI:2;OK:2,low,17
549300OYN1WD4APNOU82,,,,unmatched,366,305,17,NE:271;IA:17;AZ:4;FL:3;MO:2;CO:1;KS:1;MS:1;OR:1;AL:1,low,17
254900YK0G0T2WULHK84,,,,unmatched,240,221,17,IL:196;IA:17;MO:2;WA:1;KY:1;CO:1;OH:1;FL:1;WI:1,low,17
549300THLH8NJUNMGF13,,,,unmatched,35,35,15,NE:19;IA:15;SD:1,low,15
549300WBJK857X8MNU96,,,,unmatched,35,35,15,IL:20;IA:15,low,15
549300X4P2GHQNMZGO79,,,,unmatched,3556,2562,14,MI:2215;IL:127;WI:105;OH:73;FL:19;IA:14;IN:3;GA:2;NC:1;TN:1,medium,14
549300U82B82JH54TO79,,,,unmatched,1345,1120,14,NE:1077;IA:14;CO:6;AZ:4;IL:3;NC:2;SD:2;KS:2;MO:2;FL:1,medium,14
254900HEPQK96AEXHS12,,,,unmatched,447,398,14,NE:359;IA:14;MO:13;KS:3;CO:1;ND:1;MN:1;TN:1;IL:1;OR:1,low,14
549300A0SVCQJPHVGV20,,,,unmatched,3591,2835,13,WI:1466;MN:599;TX:361;TN:309;KY:19;FL:16;NJ:13;IA:13;GA:7;CO:5,high,13
549300T1ONVEMLQ4B629,,,,unmatched,753,633,13,SD:576;MN:14;IA:13;NE:12;CO:3;AZ:2;TN:2;FL:2;ND:2;TX:2,medium,13
549300REHZOIYMHDPI61,,,,unmatched,679,564,13,SD:541;IA:13;MN:8;NE:1;ND:1,medium,13
549300XZEU2LB7FLWW04,,,,unmatched,176,154,13,NE:120;IA:13;AR:4;MO:3;FL:2;IL:2;SD:2;AZ:1;CO:1;SC:1,low,13
549300R92KASZD16MT49,,,,unmatched,76,63,13,SD:36;MN:14;IA:13,low,13
254900MRLM780BDGSW97,,,,unmatched,15,13,13,IA:13,low,13
549300DT7WZ1SOTNFJ62,,,,unmatched,2457,1688,12,MO:648;CA:379;NE:340;KS:171;IL:41;TX:14;IA:12;NV:10;OK:10;CO:8,medium,12
5493002LPXKMOZNXUY90,,,,unmatched,2224,1830,12,ND:941;SD:503;MN:202;AZ:124;IA:12;NE:10;FL:5;KS:4;TX:4;NC:2,medium,12
549300IQ5NY7CSJLZW53,,,,unmatched,1866,1306,12,SD:972;MN:302;IA:12;WI:8;AZ:3;NE:2;ND:1;VA:1;MT:1;CA:1,medium,12
549300ZM3TKJVUYB3676,,,,unmatched,390,340,11,IL:318;IA:11;WI:4;FL:2;NM:1;TN:1;AR:1;GA:1;IN:1,low,11
254900UD8AEXTVCVAF72,,,,unmatched,306,202,10,MO:29;MD:28;OH:21;IN:18;IL:16;VA:14;KY:14;IA:10;AL:9;TN:8,low,10
549300QRH7IX8IMYTC57,,,,unmatched,280,233,10,NE:218;IA:10;KS:1;MO:1;SD:1;NV:1;IL:1,low,10
5493001HOFQNI04A3474,,,,unmatched,82,81,10,MN:58;WI:13;IA:10,low,10
