lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,wisconsin_originations,florida_originations,total_originations,priority_match,notes
549300OPCWU6E72WUT29,"MUTUAL OF OMAHA MORTGAGE, INC.",1025894,mutual-of-omaha-mortgage,"Mutual of Omaha Mortgage, Inc.",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+public_nmls,359,0,359,medium,reuse_prior_state_curated_lei map for WI activity (359 WI originations); slug=mutual-of-omaha-mortgage.
54930021WPEXNHYZUL09,"PLANET HOME LENDING, LLC",17022,planet-home-lending,"Planet Home Lending, LLC",high,reuse_prior_state_curated_lei+ga_curated_gleif+public_nmls,335,0,335,medium,reuse_prior_state_curated_lei map for WI activity (335 WI originations); slug=planet-home-lending.
549300YIQ7S7Z8PIHE53,AMERISAVE MORTGAGE CORPORATION,1168,amerisave,AmeriSave Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,334,1667,334,medium,reuse_prior_state_curated_lei map for WI activity (334 WI originations); slug=amerisave.
549300PIL8LFAQ04XC20,Better Mortgage Corporation,330511,better-mortgage,Better Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,322,2675,322,medium,reuse_prior_state_curated_lei map for WI activity (322 WI originations); slug=better-mortgage.
5493001GDRY0EL7VG372,"ARK-LA-TEX FINANCIAL SERVICES, LLC.",2143,benchmark-mortgage,"Ark-La-Tex Financial Services, LLC dba Benchmark Mortgage",high,reuse_prior_state_curated_lei+co_curated+co_deepen_gleif+public_nmls,289,0,289,medium,reuse_prior_state_curated_lei map for WI activity (289 WI originations); slug=benchmark-mortgage.
54930054ET8KM4O1D485,"SOFI BANK, NATIONAL ASSOCIATION",1121636,sofi-bank,"SoFi Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,277,1042,277,medium,reuse_prior_state_curated_lei map for WI activity (277 WI originations); slug=sofi-bank.
254900ZFWS2106HWPH46,"PARAMOUNT RESIDENTIAL MORTGAGE GROUP, INC.",75243,prmg,Paramount Residential Mortgage Group (PRMG),medium,reuse_prior_state_curated_lei+gleif_name_to_directory,263,3741,263,medium,reuse_prior_state_curated_lei map for WI activity (263 WI originations); slug=prmg.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,249,7938,249,medium,reuse_prior_state_curated_lei map for WI activity (249 WI originations); slug=guaranteed-rate.
549300NOCASXPA34X033,"LAKEVIEW LOAN SERVICING, LLC",4095,lakeview-loan-servicing,"Lakeview Loan Servicing, LLC",high,reuse_prior_state_curated_lei+curated_public_nmls+directory_profile,248,1488,248,medium,reuse_prior_state_curated_lei map for WI activity (248 WI originations); slug=lakeview-loan-servicing.
54930001NSTOD85LT125,"GUARANTEED RATE AFFINITY, LLC",1598647,guaranteed-rate-affinity,"Guaranteed Rate Affinity, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+reuse_fl_tx_ga_ca_nc_sc_curated_lei+sc_curated+sc_curated_gleif+public_nmls,243,0,243,medium,reuse_prior_state_curated_lei map for WI activity (243 WI originations); slug=guaranteed-rate-affinity.
