year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MO,254900WEP08K7U7S3A80,,461,385,29183:138; 29189:109; 29099:30; 29113:29; 29510:24,301,67,16,1,0,78.18,17.4,4.16,national
2025,MO,549300D064PXOX5JP483,,441,382,29077:128; 29109:48; 29043:46; 29039:31; 29097:30,375,0,1,6,0,98.17,0.0,0.26,national
2025,MO,54930021WPEXNHYZUL09,"PLANET HOME LENDING, LLC",481,376,29095:38; 29189:35; 29099:27; 29183:24; 29077:16,50,187,133,6,0,13.3,49.73,35.37,national
2025,MO,KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association",731,371,29189:90; 29183:44; 29095:43; 29047:20; 29099:20,351,14,5,1,0,94.61,3.77,1.35,national
2025,MO,5493005PD34O8ZT7QT17,,453,365,29189:190; 29095:83; 29510:46; 29077:13; 29117:6,365,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300R9S3MVDV4MGF56,"CARRINGTON MORTGAGE SERVICES, LLC",1043,365,29095:47; 29189:41; 29099:31; 29047:30; 29183:21,165,151,46,3,0,45.21,41.37,12.6,national
2025,MO,549300DOV2RLYPY10B52,,447,364,29051:108; 29019:82; 29151:51; 29027:29; 29131:28,360,0,0,4,0,98.9,0.0,0.0,national
2025,MO,549300OR2C7AGDZFTS24,,430,355,29189:190; 29099:53; 29510:42; 29183:36; 29029:9,311,39,5,0,0,87.61,10.99,1.41,national
2025,MO,549300XWUSRVVOHPRY47,Academy Mortgage Corporation,538,353,29189:103; 29095:52; 29047:35; 29183:33; 29510:23,227,100,17,9,0,64.31,28.33,4.82,national
2025,MO,C5654JQHZUHN0772B561,USAA Federal Savings Bank,691,340,29095:34; 29189:26; 29169:24; 29077:21; 29183:20,106,0,234,0,0,31.18,0.0,68.82,national
2025,MO,549300RWMKY0FK1H5L44,,431,331,29031:96; 29189:82; 29201:59; 29510:19; 29183:15,331,0,0,0,0,100.0,0.0,0.0,national
2025,MO,5493007OXXFLNNHTW637,,369,330,29077:165; 29043:63; 29147:16; 29209:11; 29177:11,299,25,6,0,0,90.61,7.58,1.82,national
2025,MO,549300MUMD1WPCSXT518,,385,326,29015:141; 29101:42; 29217:30; 29097:15; 29083:13,299,6,11,10,0,91.72,1.84,3.37,national
2025,MO,3Y4U8VZURTYWI1W2K376,BMO Bank National Association,652,324,29189:114; 29095:79; 29510:26; 29183:25; 29047:24,323,1,0,0,0,99.69,0.31,0.0,national
2025,MO,5493000YNV8IX4VD3X12,"VANDERBILT MORTGAGE AND FINANCE, INC.",2018,324,29095:76; 29037:38; 29047:30; 29183:21; 29113:16,285,23,16,0,0,87.96,7.1,4.94,national
2025,MO,549300AFD1IR7H2CES48,,386,320,29021:122; 29147:61; 29003:32; 29047:28; 29165:26,320,0,0,0,0,100.0,0.0,0.0,national
2025,MO,54930054ET8KM4O1D485,"SOFI BANK, NATIONAL ASSOCIATION",947,318,29189:75; 29095:40; 29183:31; 29047:26; 29510:16,291,17,10,0,0,91.51,5.35,3.14,national
2025,MO,5493007IES1RWVUDDU23,,366,315,29077:185; 29043:52; 29109:17; 29097:12; 29209:7,260,47,6,2,0,82.54,14.92,1.9,national
2025,MO,JJKC32MCHWDI71265Z06,Truist Bank,411,311,29189:169; 29510:43; 29183:29; 29031:19; 29099:9,306,0,5,0,0,98.39,0.0,1.61,national
2025,MO,549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",475,310,29189:106; 29095:46; 29183:26; 29510:21; 29047:13,175,73,30,32,0,56.45,23.55,9.68,national
2025,MO,254900PKDTFIJ2XB1675,,372,307,29113:121; 29183:83; 29189:33; 29219:14; 29099:13,307,0,0,0,0,100.0,0.0,0.0,national
2025,MO,5493004G43JM6M5BFR40,,305,305,29189:121; 29099:115; 29183:27; 29510:15; 29071:9,202,59,42,2,0,66.23,19.34,13.77,national
2025,MO,549300JDDZ5OVOP5E294,,506,305,29095:155; 29037:58; 29047:44; 29165:18; 29101:9,302,2,1,0,0,99.02,0.66,0.33,national
2025,MO,549300SUCQ1358EGVE89,"NEW DAY FINANCIAL, LLC",1328,304,29095:33; 29189:22; 29169:14; 29077:14; 29183:10,0,1,303,0,0,0.0,0.33,99.67,national
2025,MO,549300JYXTZDSPJEPI44,"PLAZA HOME MORTGAGE, INC.",433,303,29189:40; 29099:35; 29095:20; 29117:19; 29175:17,159,77,33,34,0,52.48,25.41,10.89,national
2025,MO,5493008VVXQIDO1EZ460,,365,295,29095:190; 29037:55; 29047:15; 29165:13; 29107:6,237,35,22,1,0,80.34,11.86,7.46,national
2025,MO,5493001TX1L6BVUQ0J60,,298,285,29095:121; 29107:85; 29101:31; 29037:11; 29047:6,285,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300GZNGM38QYV1N68,,717,285,29169:74; 29029:63; 29161:39; 29105:34; 29131:14,285,0,0,0,0,100.0,0.0,0.0,national
2025,MO,254900DTLHVWQ7NP7R34,"CMG Mortgage, Inc.",400,281,29095:82; 29189:29; 29047:27; 29037:22; 29077:16,242,22,15,2,0,86.12,7.83,5.34,national
2025,MO,2549007RR4DXYXPJCZ82,,311,278,29009:136; 29077:40; 29109:34; 29209:17; 29145:12,278,0,0,0,0,100.0,0.0,0.0,national
2025,MO,2549008LUH7QKMXQ8N53,,406,278,29023:55; 29207:40; 29201:32; 29021:30; 29133:19,51,98,12,117,0,18.35,35.25,4.32,national
2025,MO,549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,369,277,29095:68; 29189:38; 29047:26; 29183:13; 29037:12,193,40,30,14,0,69.68,14.44,10.83,national
2025,MO,549300KW3HYVC06WS898,,341,276,29189:124; 29183:54; 29510:29; 29099:23; 29095:16,234,32,10,0,0,84.78,11.59,3.62,national
2025,MO,549300YN94MOAVYW0F52,"GoodLeap, LLC",527,268,29095:54; 29189:26; 29047:24; 29077:21; 29183:18,153,81,34,0,0,57.09,30.22,12.69,national
2025,MO,549300TSIYX9RDYWC806,,293,260,29023:136; 29019:40; 29223:37; 29035:14; 29181:13,260,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300NFA0VY9215VV25,,425,255,29101:32; 29019:20; 29141:18; 29097:16; 29095:12,88,101,42,24,0,34.51,39.61,16.47,national
2025,MO,54930034MNPILHP25H80,Gateway First Bank,364,254,29159:98; 29037:30; 29097:25; 29145:15; 29015:10,156,63,26,9,0,61.42,24.8,10.24,national
