lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ri_originations,states_with_originations,priority_match,rhode_island_originations
254900MSO8KVQ05D2J27,,,,unmatched,1795,1233,2,MA:1127;NH:103;RI:2;CT:1,high,2
549300MUTFJQGRZJH019,,,,unmatched,823,576,2,MA:530;CT:10;FL:10;NH:6;ME:5;SC:5;VT:3;NC:2;RI:2;NJ:1,high,2
549300L4PTYXDMX1GS50,,,,unmatched,877,646,2,MA:495;NH:140;ME:6;CT:3;RI:2,medium,2
5493008H38W2EPJ8ZQ43,,,,unmatched,740,492,2,MA:488;NH:2;RI:2,medium,2
549300JEBULFT3BSU682,,,,unmatched,5270,3701,2,ME:3199;NH:277;MA:181;FL:24;VT:8;NC:5;CT:3;RI:2;SC:2,medium,2
549300GTJL0LGX444G33,,,,unmatched,262,228,2,MA:199;NH:16;FL:6;ME:4;RI:2;CT:1,medium,2
254900MFGTAZXMCELW10,,,,unmatched,105,87,2,MA:85;RI:2,medium,2
549300T5T60SK9MMCD03,,,,unmatched,65,54,2,MA:51;RI:2;NH:1,medium,2
25490010UA3IZPDO2Q49,,,,unmatched,37,35,2,MA:33;RI:2,low,2
254900639EOJ1QZC2567,,,,unmatched,66,35,2,MA:33;RI:2,low,2
2549004PVBWPAZBFE759,,,,unmatched,38,22,2,MA:20;RI:2,low,2
254900C1CRYSCHG38F20,,,,unmatched,389,297,2,CT:293;RI:2;MA:2,low,2
54930015NKWX0FSGV150,,,,unmatched,152,71,2,CT:69;RI:2,low,2
549300FQS3UXEAID1Q88,,,,unmatched,471,355,1,MA:336;CT:18;RI:1,medium,1
5493009HFRW3TN5NRR78,,,,unmatched,468,332,1,PA:323;MD:3;FL:2;OH:2;RI:1;MT:1,medium,1
2549006A34A1F1ZGTT81,,,,unmatched,209,178,1,MA:168;NH:6;CT:2;ME:1;RI:1,medium,1
54930034MXV88NNFY879,,,,unmatched,166,147,1,MA:146;RI:1,medium,1
54930048J00QUF04FP72,,,,unmatched,224,140,1,MA:139;RI:1,medium,1
5493007Y306QGNH6J842,,,,unmatched,159,121,1,MA:117;NH:3;RI:1,medium,1
254900PRB9DTJAHMMZ45,,,,unmatched,171,134,1,MA:113;NH:11;CT:4;ME:3;NC:1;FL:1;RI:1,medium,1
549300XB72WCLQVIHN50,,,,unmatched,117,93,1,MA:90;CT:2;RI:1,medium,1
549300EQ09ZL8XSYZM84,,,,unmatched,118,100,1,MA:87;CT:11;RI:1;NY:1,medium,1
549300TXFI7UH4GDK877,,,,unmatched,79,69,1,MA:67;RI:1;NH:1,medium,1
54930067K4Z4NIZ4W068,,,,unmatched,58,55,1,MA:49;NH:3;FL:2;RI:1,medium,1
549300HYHFCULSUBAE54,,,,unmatched,2388,2050,1,CT:2009;MA:32;FL:8;RI:1,medium,1
5493003KBJMVUE7RQO90,,,,unmatched,1118,691,1,VA:672;NC:5;AL:3;TX:2;MA:2;OK:1;GA:1;RI:1;WV:1;FL:1,medium,1
549300I3PFIO81O8JD40,,,,unmatched,842,700,1,VT:533;NH:165;RI:1;ME:1,medium,1
5493002578XYSRFY2C51,,,,unmatched,85,51,1,MA:49;ME:1;RI:1,low,1
254900X2A1JXHHUB4J39,,,,unmatched,50,36,1,MA:33;NH:2;RI:1,low,1
549300DRZGISDSL1BX02,,,,unmatched,148,80,1,CT:71;MA:3;NH:2;LA:2;FL:1;RI:1,low,1
549300MKO88C3VZKD418,,,,unmatched,233,169,1,CT:166;MA:2;RI:1,low,1
5493003XFPPSO0JVIB33,,,,unmatched,211,139,1,CT:136;MA:2;RI:1,low,1
549300GBPH5PK1AIGV76,,,,unmatched,20,19,1,NH:17;ME:1;RI:1,low,1
549300HW662MN1WU8550,,,,unmatched,576697,422119,0,CA:57281;FL:49897;TX:42285;MI:22015;AZ:19328;CO:18178;GA:17047;NC:13671;IL:11397;NY:11157,high,0
549300FGXN1K3HLB1R50,,,,unmatched,609400,429332,0,CA:42202;FL:31530;TX:30579;MI:22693;GA:21182;NC:18462;OH:16656;PA:16043;VA:14489;NY:13729,high,0
549300VZVN841I2ILS84,,,,unmatched,190472,125099,0,FL:11987;OH:11011;CA:9599;PA:8399;TX:7734;NJ:7558;IL:5600;NY:5429;AZ:4945;WA:4877,high,0
B4TYDEB6GKMZO031MB27,,,,unmatched,217492,88530,0,CA:17758;FL:7938;TX:6141;NJ:5136;NC:4880;NY:3897;MA:3551;GA:3440;WA:3420;IL:2889,high,0
RVDPPPGHCGZ40J4VQ731,,,,unmatched,193807,100816,0,CA:10749;FL:9704;TX:6849;GA:5272;PA:4488;VA:4338;NC:3751;AZ:3232;NJ:3144;OH:2964,high,0
7H6GLXDRUGQFU57RNE97,,,,unmatched,152415,94243,0,CA:14032;TX:9775;NY:9163;IL:8778;FL:6131;OH:4171;NJ:3325;MI:2995;AZ:2864;IN:2857,high,0
549300AG64NHILB7ZP05,,,,unmatched,155159,91730,0,CA:9983;TX:8535;FL:7460;NJ:4334;IL:4241;GA:4168;AZ:4138;NC:3969;OH:3505;SC:2670,high,0
5493003GQDUH26DNNH17,,,,unmatched,179597,80547,0,VA:9684;FL:8416;CA:6361;NC:5249;MD:5163;GA:5118;TX:4267;SC:2487;WA:2289;PA:2141,high,0
549300GKFNPRWNS0GF29,,,,unmatched,102677,70098,0,TX:10655;WA:5796;CA:4698;FL:4388;TN:3925;PA:2626;NH:2466;MA:2329;VA:2325;NJ:2257,high,0
549300DD5QQUHO6PCH70,,,,unmatched,178189,82764,0,TX:6918;FL:5506;NC:4769;VA:4500;GA:4139;OH:3302;TN:3178;IL:2965;MO:2901;PA:2643,high,0
549300U3721PJGQZYY68,,,,unmatched,129086,70579,0,IL:10217;CA:6248;NJ:4826;MA:4507;TX:3318;FL:3204;PA:3119;OH:2795;NC:2491;CO:2143,high,0
