lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ks_originations,states_with_originations,priority_match
549300Z6EE8DBBFUW487,,,,unmatched,366,313,184,KS:184;AZ:64;MO:25;IN:7;OH:6;CA:5;WI:5;MS:4;IL:3;CO:1,low
549300MU3SP76R81WW62,,,,unmatched,1055,923,177,MO:703;KS:177;TN:29;IL:7;TX:3;CA:3;FL:1,medium
5493006JISETNI0GLE61,,,,unmatched,5427,3693,174,TN:786;OH:706;IN:518;KY:489;TX:312;KS:174;IA:150;NE:149;SD:91;CO:63,high
5493002HI2PDK2BQF091,,,,unmatched,219,183,174,KS:174;MO:8;FL:1,low
549300DT7WZ1SOTNFJ62,,,,unmatched,2457,1688,171,MO:648;CA:379;NE:340;KS:171;IL:41;TX:14;IA:12;NV:10;OK:10;CO:8,medium
254900N10G1D8QK8M334,,,,unmatched,174,166,166,KS:166,low
549300QUH5S3VFIWMU57,,,,unmatched,258,184,159,KS:159;CO:13;MO:9;NE:2;UT:1,low
549300EB748TPUCF9H23,,,,unmatched,185,157,155,KS:155;AZ:1;OK:1,low
549300CUUEEQ66ZVK149,,,,unmatched,3061,1993,153,MO:667;IL:464;KS:153;OH:119;IN:111;WI:90;KY:70;TN:61;GA:56;IA:54,medium
549300LLESTPOVRG3X73,,,,unmatched,2569,1100,151,KS:151;CA:88;WA:78;MO:67;TX:55;FL:49;NC:47;CO:45;NY:40;IL:33,medium
549300Q1YFRSB8UEGH03,,,,unmatched,671,440,149,OK:204;KS:149;TX:29;MO:20;AK:8;AR:5;CO:3;AL:3;MT:2;IL:2,low
549300P5F47MW3AQ2048,,,,unmatched,235,154,148,KS:148;MO:4;OK:2,low
254900LW5BPW0G1LMW49,,,,unmatched,707,609,139,NE:285;KS:139;MN:102;WI:31;OK:27;IA:25,medium
5493007LG15SP6QAWL48,,,,unmatched,181,155,137,KS:137;OK:16;CO:1;FL:1,low
549300LP0CV2MNC1GV68,,,,unmatched,532,390,134,KS:134;MO:88;CO:39;AZ:24;GA:20;TX:10;WA:6;VA:6;TN:6;NM:5,medium
549300LK4WOVIJ8FAK87,,,,unmatched,156,140,134,KS:134;MO:6,low
549300T73HHIEIUU5F67,,,,unmatched,162,135,131,KS:131;MO:2;TX:1;SC:1,low
254900AECSSNLT5FBU41,,,,unmatched,198,179,128,KS:128;MO:45;TX:3;CO:2;NE:1,low
54930011U6TQ5MJCDV15,,,,unmatched,136,132,128,KS:128;MO:4,low
549300WZ0MLK03PNE568,,,,unmatched,167,127,127,KS:127,low
549300R8LYY54XS86414,,,,unmatched,184,132,125,KS:125;MO:7,low
549300C4ZH7G6OB81F33,,,,unmatched,168,122,122,KS:122,low
254900R7H27ZMB7IRC26,,,,unmatched,162,134,120,KS:120;MO:6;OK:4;TX:2;NE:1;FL:1,low
549300CPT4UV65RIEU74,,,,unmatched,370,121,119,KS:119;MO:2,low
2549007W5PWUV8XG3V90,,,,unmatched,834,612,117,OK:488;KS:117;TX:3;AL:2;AR:1;MO:1,medium
2549006HZDO3SULWNR95,,,,unmatched,153,137,115,KS:115;MO:15;GA:2;AK:1;NE:1;AZ:1;CA:1;CO:1,low
254900R028OZZTTP5D53,,,,unmatched,126,117,114,KS:114;MO:3,low
5493001YU4TTE8QEL245,,,,unmatched,124,115,113,KS:113;MO:2,low
549300YGJL5TVDN6LR41,,,,unmatched,142,115,112,KS:112;MO:2;NE:1,low
2549004ZRHLORHQ9LT73,,,,unmatched,384,336,105,NE:226;KS:105;IA:5,low
254900QOUFAVP0L4K777,,,,unmatched,111,109,104,KS:104;MO:3;CO:2,low
549300JDDZ5OVOP5E294,,,,unmatched,660,410,99,MO:305;KS:99;TX:2;IL:1;TN:1;OH:1;FL:1,low
254900IHGFQJY2WUC891,,,,unmatched,180,136,99,KS:99;MO:34;IA:1;FL:1;OK:1,low
549300AR1PZJHZ7BYH72,,,,unmatched,127,109,99,KS:99;MO:7;AR:1;OK:1;FL:1,low
254900UA19NBVHVPQ177,,,,unmatched,120,97,97,KS:97,low
549300ZX4OGRPOOEH505,,,,unmatched,1149,974,95,MO:733;CO:126;KS:95;FL:4;OK:3;AR:2;TX:2;NE:1;NM:1;NC:1,medium
549300W5A6PQ1VJG3497,,,,unmatched,470,346,95,MO:230;KS:95;SC:3;MI:2;TN:2;AR:2;FL:2;NV:1;MD:1;AL:1,low
5493009ROW8QSODANH20,,,,unmatched,157,126,95,KS:95;MO:31,low
2549006U8SXATH10WI14,,,,unmatched,141,115,95,KS:95;MO:20,low
549300Z4DDTZBW3TC153,,,,unmatched,112,102,94,KS:94;MO:7;NE:1,low
549300054IBXNJUH0T10,,,,unmatched,106,92,89,KS:89;CA:1;TX:1;VA:1,low
549300HGCEIBDGBU7E37,,,,unmatched,152,93,89,KS:89;MO:4,low
5493007CLWQN2S6IZK91,,,,unmatched,2313,1339,88,VA:128;TX:115;KS:88;MO:71;NC:67;FL:61;AZ:59;GA:55;CA:48;MD:46,medium
549300O5WDIJU8S7OI05,,,,unmatched,2212,1775,81,OK:1406;MO:137;KS:81;TX:48;FL:10;AZ:10;AR:9;GA:9;WA:5;SC:5,medium
549300NBFJM2PBH24L77,,,,unmatched,91,80,80,KS:80,low
549300HQPLN40YTRSL84,,,,unmatched,101,77,77,KS:77,low
549300XPYR4FPCKYRF48,,,,unmatched,88,77,77,KS:77,low
1TMVIO1SD0RLIPEIW803,,,,unmatched,1953,1311,76,MO:915;IA:198;KS:76;MN:31;NE:16;IL:14;AR:12;FL:8;NC:7;CA:6,medium
549300WOSE1H63K0E875,,,,unmatched,123,109,73,KS:73;MO:36,low
54930030PHXZTW8UCY89,,,,unmatched,75,73,73,KS:73,low
5493007700FZNYYEHT38,,,,unmatched,114,71,70,KS:70;IA:1,low
549300PZ44DNQDPOV865,,,,unmatched,3739,3183,68,NE:2875;MO:175;KS:68;IA:31;AZ:11;SD:5;FL:4;MN:3;AR:2;CO:2,medium
2549008SG8GC5XJ48M17,,,,unmatched,70,66,65,KS:65;MO:1,low
2549003IXQM06TTWQV75,,,,unmatched,78,64,64,KS:64,low
549300UTNHGSP4ICJE17,,,,unmatched,69,65,61,KS:61;MO:3;TX:1,low
5493008HZMBEJQEY0J72,,,,unmatched,101,85,59,KS:59;MO:26,low
549300K59ORGG9RDD082,,,,unmatched,71,58,57,KS:57;MO:1,low
549300DPRWSBUY619V27,,,,unmatched,4871,3125,56,AR:986;TN:773;TX:559;MO:461;OK:237;KS:56;MS:18;KY:7;IL:4;GA:4,high
5493004T9SQFCNRQ2L76,,,,unmatched,3132,2358,56,MO:680;IL:638;SC:255;TN:142;FL:106;MS:89;NC:83;NE:73;VA:71;KS:56,high
254900M6W35LL9PWTN67,,,,unmatched,58,56,56,KS:56,low
549300VFIO7B8IHC0H05,,,,unmatched,64,54,54,KS:54,low
549300ZP58VS10D8CK07,,,,unmatched,57,51,51,KS:51,low
254900378RFGMBEKAF12,,,,unmatched,3556,2166,50,IA:720;IL:309;ME:257;WI:132;NC:109;MO:52;KS:50;ND:41;GA:38;TX:37,medium
549300T61O0X0RJMQ375,,,,unmatched,1117,647,50,CA:55;KS:50;MO:49;TX:47;WA:43;FL:41;NJ:39;NC:32;VA:28;IL:23,medium
549300DX0B304LAKUN93,,,,unmatched,1176,911,48,MO:521;PA:228;IL:58;KS:48;IN:41;OH:4;TN:3;CO:3;FL:2;OR:2,medium
549300SZJNKNV106AN10,,,,unmatched,51,48,48,KS:48,low
549300XZNS9SEC471Q24,,,,unmatched,65,49,47,KS:47;OK:1;MO:1,low
549300BP2WBHKWIZA420,,,,unmatched,57,47,47,KS:47,low
549300GUHDQS0TYXZT21,,,,unmatched,53,47,44,KS:44;OK:2;FL:1,low
