lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,fl_originations,states_with_originations,priority_match
S0Q3AHZRL5K6VQE35M07,,,,unmatched,130,92,50,FL:50;TN:8;SC:8;GA:6;NC:6;TX:6;NY:5;CA:2,high
5493004UNRG4PWDF2K60,,,,unmatched,3127,1780,49,NJ:1476;NY:106;PA:60;FL:49;NC:25;CA:19;SC:13;MA:10,high
549300BM4NS8HDJT3X28,,,,unmatched,1183,867,49,NC:400;SC:180;TN:111;DC:61;FL:49;GA:46;PA:13;TX:6,high
549300KQHWNSVCE2MY88,,,,unmatched,785,540,49,TX:125;TN:91;NC:65;CA:58;GA:53;FL:49;SC:32;PA:20,high
549300LLESTPOVRG3X73,,,,unmatched,1155,409,49,CA:88;TX:55;FL:49;NC:47;NY:40;GA:28;TN:25;MA:23,high
549300GCEUZLVML1J263,,,,unmatched,2047,1612,48,MA:908;PA:474;NC:74;GA:66;FL:48;TX:26;SC:11;TN:3,high
54930039IUN6515TBG78,,,,unmatched,1662,1206,47,GA:517;NY:292;TX:167;NJ:103;CA:52;FL:47;PA:13;SC:5,high
254900YPPMV9UM5FUW09,,,,unmatched,903,624,47,NC:334;DC:91;GA:80;FL:47;TX:15;PA:15;TN:15;CA:11,high
549300UB5TJ0YPVPT503,,,,unmatched,2013,1352,46,CA:903;TX:215;TN:127;NC:48;FL:46;GA:9;SC:3;NJ:1,high
COINQMNIM6RBU631DD85,,,,unmatched,527,271,46,TX:71;FL:46;CA:32;TN:26;NC:26;GA:18;SC:17;PA:14,high
549300K6K2IS7FRS7S09,,,,unmatched,402,241,46,FL:46;TX:42;CA:31;NC:31;GA:20;SC:19;NJ:13;PA:13,high
549300V8CF81JGIV7038,,,,unmatched,233,201,46,TN:104;FL:46;TX:15;SC:14;CA:12;GA:7;NC:2;PA:1,high
549300MUXFVZKH4XLG17,,,,unmatched,2289,1551,45,CA:677;TX:490;NC:102;GA:102;SC:93;FL:45;TN:41;PA:1,high
549300R4F5COFJE0DN81,,,,unmatched,1255,651,44,CA:531;FL:44;TX:33;TN:14;GA:9;NC:8;NJ:5;SC:4,high
5493007L4GYNO2PUBS09,,,,unmatched,1340,486,44,TX:156;GA:146;PA:65;FL:44;NJ:35;CA:17;NC:13;SC:6,high
549300LEOR2LO8J9RT29,,,,unmatched,318,252,44,GA:208;FL:44,high
549300FFVDRROF85IC57,,,,unmatched,6081,468,43,TX:149;NY:106;PA:95;SC:54;FL:43;GA:12;NJ:9,high
254900P7WLDQD9IUL038,,,,unmatched,861,404,43,MA:184;FL:43;GA:41;NC:32;CA:29;SC:20;TN:13;TX:12,high
213800KVD76WKI6PN868,,,,unmatched,585,339,43,NC:215;FL:43;SC:39;GA:26;PA:10;DC:6,high
5493003X6Y6JGJKHPA25,,,,unmatched,1081,729,41,NY:609;FL:41;NJ:25;CA:16;PA:16;NC:8;SC:5;TN:4,high
549300T61O0X0RJMQ375,,,,unmatched,510,293,41,CA:55;TX:47;FL:41;NJ:39;NC:32;MA:20;TN:19;GA:16,high
